directory,filename,best_deployment,best_throughput,best_drop_rate,better_combination,better_throughput,better_drop_rate,diff
results,performance_20251223_170443_model_schedules_g_m_r_r_s_s_t_v_x2.json,combination_180,21.64,95.0,combination_248,24.25,289.0,2.6099999999999994
results,performance_20251224_083336_model_schedules_m_r_r_v_y_x2.json,combination_5,15.25,521.0,combination_11,17.85,656.0,2.6000000000000014
results,performance_20251224_072843_model_schedules_m_r_r_s_s_x2.json,combination_18,22.47,346.0,combination_5,25.06,621.0,2.59
results,performance_20251224_070051_model_schedules_g_m_t_test.json,combination_2,30.59,142.0,combination_5,33.15,156.0,2.5599999999999987
results,performance_20251223_153839_model_schedules_g_m_r_r_s_s_t_test.json,combination_23,22.33,179.0,combination_3,24.87,266.0,2.5400000000000027
results,performance_20251223_170443_model_schedules_g_m_r_r_s_s_t_v_x2.json,combination_180,21.64,95.0,combination_83,24.17,186.0,2.530000000000001
results,performance_20251224_075835_model_schedules_m_r_r_t_y_test.json,combination_10,15.17,516.0,combination_17,17.68,571.0,2.51
results,performance_20251224_065719_model_schedules_g_m_r_t.json,combination_6,20.44,489.0,combination_12,22.93,580.0,2.4899999999999984
results,performance_20251223_170443_model_schedules_g_m_r_r_s_s_t_v_x2.json,combination_180,21.64,95.0,combination_20,24.12,156.0,2.4800000000000004
results,performance_20251224_053655_model_schedules_g_m_r_r_s_t_x2.json,combination_9,21.48,255.0,combination_6,23.94,492.0,2.460000000000001
results,performance_20251224_055051_model_schedules_g_m_r_r_s_t_x3.json,combination_10,20.86,290.0,combination_56,23.29,356.0,2.4299999999999997
results,performance_20251223_170443_model_schedules_g_m_r_r_s_s_t_v_x2.json,combination_180,21.64,95.0,combination_9,24.05,342.0,2.41
results,performance_20251223_170443_model_schedules_g_m_r_r_s_s_t_v_x2.json,combination_180,21.64,95.0,combination_15,24.04,195.0,2.3999999999999986
results,performance_20251224_090334_model_schedules_m_r_t_y_x3.json,combination_12,16.31,697.0,combination_4,18.67,723.0,2.360000000000003
results,performance_20251223_170443_model_schedules_g_m_r_r_s_s_t_v_x2.json,combination_180,21.64,95.0,combination_70,23.99,176.0,2.349999999999998
results,performance_20251223_170443_model_schedules_g_m_r_r_s_s_t_v_x2.json,combination_180,21.64,95.0,combination_107,23.97,293.0,2.3299999999999983
results,performance_20251224_061843_model_schedules_g_m_r_r_t_test.json,combination_15,20.62,368.0,combination_25,22.94,431.0,2.3200000000000003
results,performance_20251223_170443_model_schedules_g_m_r_r_s_s_t_v_x2.json,combination_180,21.64,95.0,combination_176,23.95,236.0,2.3099999999999987
results,performance_20251224_055051_model_schedules_g_m_r_r_s_t_x3.json,combination_10,20.86,290.0,combination_23,23.16,567.0,2.3000000000000007
results,performance_20251229_180806_model_schedules_g_m_r_r_s_s_t_v_y_test.json,combination_25,20.99,198.0,combination_145,23.28,263.0,2.2900000000000027
results,performance_20251223_170443_model_schedules_g_m_r_r_s_s_t_v_x2.json,combination_180,21.64,95.0,combination_197,23.93,282.0,2.289999999999999
results,performance_20251224_035931_model_schedules_g_m_r_r_s_s_t_x2.json,combination_70,21.84,118.0,combination_50,24.12,225.0,2.280000000000001
results,performance_20251224_055051_model_schedules_g_m_r_r_s_t_x3.json,combination_10,20.86,290.0,combination_50,23.08,393.0,2.219999999999999
results,performance_20251223_170443_model_schedules_g_m_r_r_s_s_t_v_x2.json,combination_180,21.64,95.0,combination_214,23.86,167.0,2.219999999999999
results,performance_20251223_153839_model_schedules_g_m_r_r_s_s_t_test.json,combination_23,22.33,179.0,combination_1,24.54,220.0,2.210000000000001
results,performance_20251224_075835_model_schedules_m_r_r_t_y_test.json,combination_10,15.17,516.0,combination_26,17.37,565.0,2.200000000000001
results,performance_20251224_070427_model_schedules_g_m_t_x3.json,combination_7,31.19,508.0,combination_2,33.39,568.0,2.1999999999999993
results,performance_20251223_170443_model_schedules_g_m_r_r_s_s_t_v_x2.json,combination_180,21.64,95.0,combination_23,23.83,247.0,2.1899999999999977
results,performance_20251223_170443_model_schedules_g_m_r_r_s_s_t_v_x2.json,combination_180,21.64,95.0,combination_29,23.83,237.0,2.1899999999999977
results,performance_20251224_084037_model_schedules_m_r_r_v_y_x3.json,combination_13,15.19,591.0,combination_2,17.37,743.0,2.1800000000000015
results,performance_20251223_153839_model_schedules_g_m_r_r_s_s_t_test.json,combination_23,22.33,179.0,combination_37,24.5,383.0,2.1700000000000017
results,performance_20251224_083336_model_schedules_m_r_r_v_y_x2.json,combination_5,15.25,521.0,combination_15,17.42,736.0,2.1700000000000017
results,performance_20251224_075835_model_schedules_m_r_r_t_y_test.json,combination_10,15.17,516.0,combination_32,17.34,600.0,2.17
results,performance_20251224_083336_model_schedules_m_r_r_v_y_x2.json,combination_5,15.25,521.0,combination_19,17.41,696.0,2.16
results,performance_20251224_065719_model_schedules_g_m_r_t.json,combination_6,20.44,489.0,combination_5,22.59,634.0,2.1499999999999986
results,performance_20251223_170443_model_schedules_g_m_r_r_s_s_t_v_x2.json,combination_180,21.64,95.0,combination_132,23.76,278.0,2.120000000000001
results,performance_20251223_170443_model_schedules_g_m_r_r_s_s_t_v_x2.json,combination_180,21.64,95.0,combination_69,23.76,153.0,2.120000000000001
results,performance_20251224_085626_model_schedules_m_r_r_x3.json,combination_8,19.96,800.0,combination_7,22.08,1088.0,2.1199999999999974
results,performance_20251223_153839_model_schedules_g_m_r_r_s_s_t_test.json,combination_23,22.33,179.0,combination_100,24.44,231.0,2.110000000000003
results,performance_20251224_053655_model_schedules_g_m_r_r_s_t_x2.json,combination_9,21.48,255.0,combination_50,23.59,322.0,2.1099999999999994
results,performance_20251223_170443_model_schedules_g_m_r_r_s_s_t_v_x2.json,combination_180,21.64,95.0,combination_95,23.75,186.0,2.1099999999999994
