mxq_label,mxq_path,rep,sid,sap,sap_small,sap_medium,sap_large,npu_infer_ms,skip_pct,run_timestamp
vendor_b2441f9d,models/mobilint_backup/yolo11s.mxq,2,18,0.1833,0.0073,0.0859,0.721,9.66,0.0,1781266627
vendor_b2441f9d,models/mobilint_backup/yolo11s.mxq,2,19,0.1055,0.0082,0.0882,0.3777,9.9,0.0,1781266632
vendor_b2441f9d,models/mobilint_backup/yolo11s.mxq,2,20,0.1047,0.0076,0.0698,0.3161,9.95,0.0,1781266638
vendor_b2441f9d,models/mobilint_backup/yolo11s.mxq,2,21,0.0836,0.0014,0.0244,0.2127,9.81,0.0,1781266643
vendor_b2441f9d,models/mobilint_backup/yolo11s.mxq,2,22,0.1912,0.001,0.1733,0.614,10.6,0.0,1781266649
vendor_b2441f9d,models/mobilint_backup/yolo11s.mxq,2,23,0.1438,0.0267,0.147,0.4757,9.96,0.0,1781266654
local_qbc,accv_experiments/results/qbc_local_yolo11s_global8.mxq,0,0,0.0593,0.0134,0.1065,0.426,9.95,0.0,1781266664
local_qbc,accv_experiments/results/qbc_local_yolo11s_global8.mxq,0,1,0.0592,0.0014,0.0624,0.2093,9.65,0.0,1781266673
local_qbc,accv_experiments/results/qbc_local_yolo11s_global8.mxq,0,2,0.1104,0.0113,0.1449,0.5651,10.41,0.0,1781266679
local_qbc,accv_experiments/results/qbc_local_yolo11s_global8.mxq,0,3,0.1314,0.0007,0.1966,0.3336,10.21,0.0,1781266685
local_qbc,accv_experiments/results/qbc_local_yolo11s_global8.mxq,0,4,0.1916,0.0,0.0882,0.5021,10.21,0.0,1781266692
local_qbc,accv_experiments/results/qbc_local_yolo11s_global8.mxq,0,5,0.3828,0.0089,0.1741,0.5689,10.24,0.0,1781266697
local_qbc,accv_experiments/results/qbc_local_yolo11s_global8.mxq,0,6,0.099,0.0104,0.0917,0.3454,9.83,0.0,1781266703
local_qbc,accv_experiments/results/qbc_local_yolo11s_global8.mxq,0,7,0.1954,0.0015,0.1468,0.3667,9.72,0.0,1781266708
local_qbc,accv_experiments/results/qbc_local_yolo11s_global8.mxq,0,8,0.074,0.0056,0.0875,0.3963,10.32,0.0,1781266718
local_qbc,accv_experiments/results/qbc_local_yolo11s_global8.mxq,0,9,0.1522,0.0023,0.1319,0.3178,10.46,0.0,1781266726
local_qbc,accv_experiments/results/qbc_local_yolo11s_global8.mxq,0,10,0.1545,0.0199,0.1489,0.3327,9.96,0.0,1781266731
local_qbc,accv_experiments/results/qbc_local_yolo11s_global8.mxq,0,11,0.2817,0.0058,0.1651,0.6169,10.4,0.0,1781266742
local_qbc,accv_experiments/results/qbc_local_yolo11s_global8.mxq,0,12,0.443,0.0306,0.3881,0.8855,10.1,0.0,1781266748
local_qbc,accv_experiments/results/qbc_local_yolo11s_global8.mxq,0,13,0.1947,0.0039,0.0871,0.42,9.74,0.0,1781266757
local_qbc,accv_experiments/results/qbc_local_yolo11s_global8.mxq,0,14,0.4256,0.0341,0.2137,0.6742,9.7,0.0,1781266767
local_qbc,accv_experiments/results/qbc_local_yolo11s_global8.mxq,0,15,0.1109,0.0073,0.1194,0.3904,9.76,0.0,1781266777
local_qbc,accv_experiments/results/qbc_local_yolo11s_global8.mxq,0,16,0.359,0.0071,0.5274,0.6796,10.15,0.0,1781266782
local_qbc,accv_experiments/results/qbc_local_yolo11s_global8.mxq,0,17,0.2002,0.0133,0.1784,0.5795,10.09,0.0,1781266787
local_qbc,accv_experiments/results/qbc_local_yolo11s_global8.mxq,0,18,0.1792,0.0082,0.0868,0.7044,9.68,0.0,1781266797
local_qbc,accv_experiments/results/qbc_local_yolo11s_global8.mxq,0,19,0.109,0.0116,0.0946,0.3663,9.87,0.0,1781266802
local_qbc,accv_experiments/results/qbc_local_yolo11s_global8.mxq,0,20,0.1029,0.0094,0.0712,0.2958,9.82,0.0,1781266808
local_qbc,accv_experiments/results/qbc_local_yolo11s_global8.mxq,0,21,0.084,0.0021,0.0276,0.2161,9.84,0.0,1781266813
local_qbc,accv_experiments/results/qbc_local_yolo11s_global8.mxq,0,22,0.1854,0.0014,0.1618,0.6155,10.5,0.0,1781266819
local_qbc,accv_experiments/results/qbc_local_yolo11s_global8.mxq,0,23,0.1463,0.0317,0.1527,0.4669,9.98,0.0,1781266824
local_qbc,accv_experiments/results/qbc_local_yolo11s_global8.mxq,1,0,0.0593,0.0134,0.1065,0.426,9.8,0.0,1781266834
local_qbc,accv_experiments/results/qbc_local_yolo11s_global8.mxq,1,1,0.0592,0.0014,0.0624,0.2093,9.57,0.0,1781266843
local_qbc,accv_experiments/results/qbc_local_yolo11s_global8.mxq,1,2,0.1104,0.0113,0.1449,0.5651,10.6,0.0,1781266849
local_qbc,accv_experiments/results/qbc_local_yolo11s_global8.mxq,1,3,0.1314,0.0007,0.1966,0.3336,10.09,0.0,1781266855
local_qbc,accv_experiments/results/qbc_local_yolo11s_global8.mxq,1,4,0.1916,0.0,0.0882,0.5021,10.09,0.0,1781266862
local_qbc,accv_experiments/results/qbc_local_yolo11s_global8.mxq,1,5,0.3828,0.0089,0.1741,0.5689,10.1,0.0,1781266867
local_qbc,accv_experiments/results/qbc_local_yolo11s_global8.mxq,1,6,0.099,0.0104,0.0917,0.3454,9.79,0.0,1781266873
local_qbc,accv_experiments/results/qbc_local_yolo11s_global8.mxq,1,7,0.1954,0.0015,0.1468,0.3667,9.9,0.0,1781266878
local_qbc,accv_experiments/results/qbc_local_yolo11s_global8.mxq,1,8,0.074,0.0056,0.0875,0.3963,10.29,0.0,1781266888
local_qbc,accv_experiments/results/qbc_local_yolo11s_global8.mxq,1,9,0.1522,0.0023,0.1319,0.3178,10.36,0.0,1781266896
local_qbc,accv_experiments/results/qbc_local_yolo11s_global8.mxq,1,10,0.1545,0.0199,0.1489,0.3327,9.95,0.0,1781266901
local_qbc,accv_experiments/results/qbc_local_yolo11s_global8.mxq,1,11,0.2817,0.0058,0.1651,0.6169,10.32,0.0,1781266912
local_qbc,accv_experiments/results/qbc_local_yolo11s_global8.mxq,1,12,0.443,0.0306,0.3881,0.8855,10.14,0.0,1781266917
local_qbc,accv_experiments/results/qbc_local_yolo11s_global8.mxq,1,13,0.1947,0.0039,0.0871,0.42,9.8,0.0,1781266927
local_qbc,accv_experiments/results/qbc_local_yolo11s_global8.mxq,1,14,0.4256,0.0341,0.2137,0.6742,9.55,0.0,1781266937
local_qbc,accv_experiments/results/qbc_local_yolo11s_global8.mxq,1,15,0.1109,0.0073,0.1194,0.3904,9.7,0.0,1781266946
local_qbc,accv_experiments/results/qbc_local_yolo11s_global8.mxq,1,16,0.359,0.0071,0.5274,0.6796,9.88,0.0,1781266951
local_qbc,accv_experiments/results/qbc_local_yolo11s_global8.mxq,1,17,0.2002,0.0133,0.1784,0.5795,9.94,0.0,1781266957
local_qbc,accv_experiments/results/qbc_local_yolo11s_global8.mxq,1,18,0.1792,0.0082,0.0868,0.7044,9.48,0.0,1781266966
local_qbc,accv_experiments/results/qbc_local_yolo11s_global8.mxq,1,19,0.109,0.0116,0.0946,0.3663,9.74,0.0,1781266972
local_qbc,accv_experiments/results/qbc_local_yolo11s_global8.mxq,1,20,0.1029,0.0094,0.0712,0.2958,9.84,0.0,1781266977
local_qbc,accv_experiments/results/qbc_local_yolo11s_global8.mxq,1,21,0.084,0.0021,0.0276,0.2161,9.99,0.0,1781266982
local_qbc,accv_experiments/results/qbc_local_yolo11s_global8.mxq,1,22,0.1854,0.0014,0.1618,0.6155,10.46,0.0,1781266988
local_qbc,accv_experiments/results/qbc_local_yolo11s_global8.mxq,1,23,0.1463,0.0317,0.1527,0.4669,9.98,0.0,1781266994
local_qbc,accv_experiments/results/qbc_local_yolo11s_global8.mxq,2,0,0.0593,0.0134,0.1065,0.426,9.73,0.0,1781267003
local_qbc,accv_experiments/results/qbc_local_yolo11s_global8.mxq,2,1,0.0592,0.0014,0.0624,0.2093,9.49,0.0,1781267012
local_qbc,accv_experiments/results/qbc_local_yolo11s_global8.mxq,2,2,0.1104,0.0113,0.1449,0.5651,10.36,0.0,1781267018
local_qbc,accv_experiments/results/qbc_local_yolo11s_global8.mxq,2,3,0.1314,0.0007,0.1966,0.3336,10.14,0.0,1781267024
local_qbc,accv_experiments/results/qbc_local_yolo11s_global8.mxq,2,4,0.1916,0.0,0.0882,0.5021,10.06,0.0,1781267031
local_qbc,accv_experiments/results/qbc_local_yolo11s_global8.mxq,2,5,0.3828,0.0089,0.1741,0.5689,10.14,0.0,1781267036
local_qbc,accv_experiments/results/qbc_local_yolo11s_global8.mxq,2,6,0.099,0.0104,0.0917,0.3454,10.0,0.0,1781267042
local_qbc,accv_experiments/results/qbc_local_yolo11s_global8.mxq,2,7,0.1954,0.0015,0.1468,0.3667,9.95,0.0,1781267047
local_qbc,accv_experiments/results/qbc_local_yolo11s_global8.mxq,2,8,0.074,0.0056,0.0875,0.3963,10.26,0.0,1781267057
local_qbc,accv_experiments/results/qbc_local_yolo11s_global8.mxq,2,9,0.1522,0.0023,0.1319,0.3178,10.28,0.0,1781267065
local_qbc,accv_experiments/results/qbc_local_yolo11s_global8.mxq,2,10,0.1545,0.0199,0.1489,0.3327,9.96,0.0,1781267070
local_qbc,accv_experiments/results/qbc_local_yolo11s_global8.mxq,2,11,0.2817,0.0058,0.1651,0.6169,10.36,0.0,1781267081
local_qbc,accv_experiments/results/qbc_local_yolo11s_global8.mxq,2,12,0.443,0.0306,0.3881,0.8855,10.18,0.0,1781267087
local_qbc,accv_experiments/results/qbc_local_yolo11s_global8.mxq,2,13,0.1947,0.0039,0.0871,0.42,9.44,0.0,1781267096
local_qbc,accv_experiments/results/qbc_local_yolo11s_global8.mxq,2,14,0.4256,0.0341,0.2137,0.6742,9.5,0.0,1781267106
local_qbc,accv_experiments/results/qbc_local_yolo11s_global8.mxq,2,15,0.1109,0.0073,0.1194,0.3904,9.46,0.0,1781267115
local_qbc,accv_experiments/results/qbc_local_yolo11s_global8.mxq,2,16,0.359,0.0071,0.5274,0.6796,9.98,0.0,1781267120
local_qbc,accv_experiments/results/qbc_local_yolo11s_global8.mxq,2,17,0.2002,0.0133,0.1784,0.5795,9.89,0.0,1781267126
local_qbc,accv_experiments/results/qbc_local_yolo11s_global8.mxq,2,18,0.1792,0.0082,0.0868,0.7044,9.68,0.0,1781267135
local_qbc,accv_experiments/results/qbc_local_yolo11s_global8.mxq,2,19,0.109,0.0116,0.0946,0.3663,9.91,0.0,1781267140
local_qbc,accv_experiments/results/qbc_local_yolo11s_global8.mxq,2,20,0.1029,0.0094,0.0712,0.2958,10.01,0.0,1781267146
local_qbc,accv_experiments/results/qbc_local_yolo11s_global8.mxq,2,21,0.084,0.0021,0.0276,0.2161,9.73,0.0,1781267151
local_qbc,accv_experiments/results/qbc_local_yolo11s_global8.mxq,2,22,0.1854,0.0014,0.1618,0.6155,10.48,0.0,1781267157
local_qbc,accv_experiments/results/qbc_local_yolo11s_global8.mxq,2,23,0.1463,0.0317,0.1527,0.4669,9.96,0.0,1781267162
