detector,sid,log_id,device,bg_level,sap_5095,sap_50,sap_s,sap_m,sap_l,map_5095,map_50,map_s,map_m,map_l,latency_mean,frame_skip_pct,wall_sec
YOLOv11s,16,cb0cba51-dfaf-34e9-a0c2-d931404c3dd8,GPU,L0,0.246,0.3781,0.0077,0.643,0.492,0.2698,0.3761,0.0086,0.6372,0.6,8.5257,0.0,4.0127
YOLOv11s,16,cb0cba51-dfaf-34e9-a0c2-d931404c3dd8,NPU,L0,0.307,0.489,0.0047,0.3786,0.5358,0.295,0.3737,0.0036,0.3861,0.6095,42.8574,71.5152,15.4478
YOLOv11s,16,cb0cba51-dfaf-34e9-a0c2-d931404c3dd8,GPU,L1_light,0.2478,0.378,0.0078,0.6427,0.4916,0.2698,0.3761,0.0086,0.6372,0.6,18.444,2.2779,8.6825
YOLOv11s,17,cb762bb1-7ce1-3ba5-b53d-13c159b532c8,GPU,L0,0.2481,0.3782,0.0213,0.2504,0.6281,0.277,0.3791,0.0216,0.2789,0.7011,8.5712,0.0,4.0697
YOLOv11s,17,cb762bb1-7ce1-3ba5-b53d-13c159b532c8,NPU,L0,0.166,0.3015,0.008,0.1481,0.4901,0.1936,0.2677,0.0091,0.1784,0.5513,40.0252,66.5738,15.5489
YOLOv11s,17,cb762bb1-7ce1-3ba5-b53d-13c159b532c8,GPU,L1_light,0.2468,0.3779,0.0212,0.2494,0.6249,0.277,0.3791,0.0216,0.2789,0.7011,18.2225,2.2472,8.6787
YOLOv11s,18,cd5bb988-092e-396c-8f33-e30969c98535,GPU,L0,0.2034,0.2543,0.0179,0.0974,0.7561,0.2208,0.259,0.0201,0.1206,0.8401,8.2108,0.0,7.421
YOLOv11s,18,cd5bb988-092e-396c-8f33-e30969c98535,NPU,L0,0.1586,0.2203,0.0054,0.0622,0.6014,0.1587,0.184,0.0067,0.0873,0.637,41.1205,70.219,29.4601
YOLOv11s,18,cd5bb988-092e-396c-8f33-e30969c98535,GPU,L1_light,0.2034,0.2543,0.0179,0.0974,0.7561,0.2208,0.259,0.0201,0.1206,0.8401,18.581,0.0,16.762
YOLOv11s,19,cd64733a-dd8a-3bdf-b46a-b7144226168a,GPU,L0,0.1208,0.2035,0.0127,0.1223,0.3753,0.1831,0.262,0.0182,0.2346,0.6045,8.3955,0.0,3.9178
YOLOv11s,19,cd64733a-dd8a-3bdf-b46a-b7144226168a,NPU,L0,0.0755,0.1416,0.0073,0.0601,0.2277,0.1213,0.1672,0.008,0.1337,0.4486,39.7869,68.9459,15.2383
YOLOv11s,19,cd64733a-dd8a-3bdf-b46a-b7144226168a,GPU,L1_light,0.1208,0.2036,0.0127,0.1223,0.3751,0.1831,0.262,0.0182,0.2346,0.6045,18.5456,0.2294,8.659
YOLOv11s,20,da734d26-8229-383f-b685-8086e58d1e05,GPU,L0,0.1058,0.1787,0.0083,0.0795,0.3138,0.1607,0.2282,0.0091,0.1798,0.5289,8.2282,0.0,3.8609
YOLOv11s,20,da734d26-8229-383f-b685-8086e58d1e05,NPU,L0,0.0768,0.1375,0.0074,0.0536,0.2028,0.1276,0.1825,0.0067,0.1275,0.3855,38.4222,59.8361,15.2781
YOLOv11s,20,da734d26-8229-383f-b685-8086e58d1e05,GPU,L1_light,0.1058,0.1787,0.0083,0.0795,0.3138,0.1607,0.2282,0.0091,0.1798,0.5289,18.4691,0.0,8.6645
YOLOv11s,21,e9a96218-365b-3ecd-a800-ed2c4c306c78,GPU,L0,0.1149,0.2931,0.01,0.0469,0.2617,0.2865,0.4405,0.0117,0.2904,0.5051,8.3495,0.0,3.9232
YOLOv11s,21,e9a96218-365b-3ecd-a800-ed2c4c306c78,NPU,L0,0.0516,0.1203,0.0006,0.0073,0.1528,0.1777,0.2599,0.0017,0.1918,0.3224,40.2846,69.1429,15.2676
YOLOv11s,21,e9a96218-365b-3ecd-a800-ed2c4c306c78,GPU,L1_light,0.115,0.2931,0.01,0.0467,0.2614,0.2865,0.4405,0.0117,0.2904,0.5051,18.672,0.4556,8.7662
YOLOv11s,22,f1008c18-e76e-3c24-adcc-da9858fac145,GPU,L0,0.211,0.3635,0.0014,0.193,0.647,0.2189,0.364,0.0023,0.1946,0.682,8.6143,0.0,4.1003
YOLOv11s,22,f1008c18-e76e-3c24-adcc-da9858fac145,NPU,L0,0.1755,0.3351,0.0009,0.1703,0.5492,0.1622,0.2842,0.0022,0.142,0.531,40.8751,70.255,15.6387
YOLOv11s,22,f1008c18-e76e-3c24-adcc-da9858fac145,GPU,L1_light,0.211,0.3635,0.0014,0.193,0.647,0.2189,0.364,0.0023,0.1946,0.682,18.5026,0.0,8.7861
YOLOv11s,23,f9fa3960-537f-3151-a1a3-37a9c0d6d7f7,GPU,L0,0.1555,0.3045,0.0344,0.1692,0.4839,0.2616,0.376,0.0491,0.3623,0.6662,8.318,0.0,3.9581
YOLOv11s,23,f9fa3960-537f-3151-a1a3-37a9c0d6d7f7,NPU,L0,0.0871,0.1922,0.0195,0.083,0.2973,0.1847,0.2599,0.0297,0.2504,0.5043,41.5165,70.9677,15.5556
YOLOv11s,23,f9fa3960-537f-3151-a1a3-37a9c0d6d7f7,GPU,L1_light,0.1553,0.3044,0.0344,0.1688,0.4827,0.2616,0.376,0.0491,0.3623,0.6662,18.6603,0.2247,8.8808
