cell,repeat,log_or_stream_id,sap,sap_small,sap_medium,sap_large,offline_map,infer_ms_mean,skip_pct,model_sha,run_timestamp,notes
fp32_ft,0,4,0.1494,0.0189,0.1376,0.2903,0.1494,8.08,0.0,4c4b342a6d09de67,1781335223,
fp32_ft,0,5,0.3329,0.0563,0.256,0.4348,0.3524,8.12,0.0,4c4b342a6d09de67,1781335227,
fp32_ft,0,6,0.1527,0.0298,0.1383,0.4657,0.2079,7.77,0.0,4c4b342a6d09de67,1781335232,
fp32_ft,0,7,0.2559,0.0099,0.2267,0.4077,0.2992,7.84,0.0,4c4b342a6d09de67,1781335236,
fp32_ft,0,8,0.14,0.0811,0.195,0.3833,0.1643,8.28,0.0,4c4b342a6d09de67,1781335245,
fp32_ft,0,9,0.2046,0.0159,0.2245,0.3615,0.2429,8.2,0.0,4c4b342a6d09de67,1781335251,
fp32_ft,0,10,0.1442,0.0373,0.1551,0.2809,0.1981,7.8,0.0,4c4b342a6d09de67,1781335256,
fp32_ft,0,11,0.2112,0.0119,0.1908,0.4878,0.2253,8.18,0.0,4c4b342a6d09de67,1781335266,
fp32_ft,0,12,0.4315,0.0922,0.4643,0.7247,0.4353,8.07,0.0,4c4b342a6d09de67,1781335270,
fp32_ft,0,13,0.2365,0.0461,0.3062,0.3757,0.2731,7.71,0.0,4c4b342a6d09de67,1781335278,
fp32_ft,0,14,0.3509,0.1523,0.3732,0.4482,0.3704,7.47,0.0,4c4b342a6d09de67,1781335287,
fp32_ft,0,15,0.1189,0.0415,0.1476,0.3148,0.1905,7.74,0.0,4c4b342a6d09de67,1781335294,
fp32_ft,0,16,0.3395,0.0215,0.6486,0.6196,0.3702,8.0,0.0,4c4b342a6d09de67,1781335298,
fp32_ft,0,17,0.2754,0.0316,0.2733,0.7323,0.3013,8.09,0.0,4c4b342a6d09de67,1781335303,
fp32_ft,0,18,0.208,0.0336,0.1087,0.761,0.223,7.6,0.0,4c4b342a6d09de67,1781335311,
fp32_ft,0,19,0.1911,0.0643,0.1941,0.4119,0.3036,7.84,0.0,4c4b342a6d09de67,1781335316,
fp32_ft,0,20,0.1428,0.027,0.1629,0.3215,0.2264,7.79,0.0,4c4b342a6d09de67,1781335321,
fp32_ft,0,21,0.2356,0.0802,0.0809,0.3754,0.4358,7.91,0.0,4c4b342a6d09de67,1781335326,
fp32_ft,0,22,0.2748,0.0523,0.34,0.5746,0.2785,8.22,0.0,4c4b342a6d09de67,1781335331,
fp32_ft,0,23,0.2108,0.0764,0.2284,0.5322,0.3583,7.92,0.0,4c4b342a6d09de67,1781335336,
fp32_ft,1,0,0.087,0.0378,0.1643,0.4165,0.1043,7.75,0.0,4c4b342a6d09de67,1781335344,
fp32_ft,1,1,0.1119,0.0234,0.1305,0.3521,0.1466,7.64,0.0,4c4b342a6d09de67,1781335352,
fp32_ft,1,2,0.1213,0.0439,0.1666,0.475,0.1474,8.2,0.0,4c4b342a6d09de67,1781335357,
fp32_ft,1,3,0.3164,0.0783,0.381,0.393,0.475,8.1,0.0,4c4b342a6d09de67,1781335362,
fp32_ft,1,4,0.1494,0.0189,0.1376,0.2903,0.1494,8.35,0.0,4c4b342a6d09de67,1781335369,
fp32_ft,1,5,0.3329,0.0563,0.256,0.4348,0.3524,8.16,0.0,4c4b342a6d09de67,1781335373,
fp32_ft,1,6,0.1527,0.0298,0.1383,0.4657,0.2079,7.82,0.0,4c4b342a6d09de67,1781335378,
fp32_ft,1,7,0.2559,0.0099,0.2267,0.4077,0.2992,7.86,0.0,4c4b342a6d09de67,1781335382,
fp32_ft,1,8,0.14,0.0811,0.195,0.3833,0.1643,8.32,0.0,4c4b342a6d09de67,1781335391,
fp32_ft,1,9,0.2046,0.0159,0.2245,0.3615,0.2429,8.24,0.0,4c4b342a6d09de67,1781335397,
fp32_ft,1,10,0.1442,0.0373,0.1551,0.2809,0.1981,7.8,0.0,4c4b342a6d09de67,1781335402,
fp32_ft,1,11,0.2112,0.0119,0.1908,0.4878,0.2253,8.14,0.0,4c4b342a6d09de67,1781335412,
fp32_ft,1,12,0.4315,0.0922,0.4643,0.7247,0.4353,8.05,0.0,4c4b342a6d09de67,1781335416,
fp32_ft,1,13,0.2365,0.0461,0.3062,0.3757,0.2731,7.7,0.0,4c4b342a6d09de67,1781335424,
fp32_ft,1,14,0.3509,0.1523,0.3732,0.4482,0.3704,7.5,0.0,4c4b342a6d09de67,1781335433,
fp32_ft,1,15,0.1189,0.0415,0.1476,0.3148,0.1905,7.76,0.0,4c4b342a6d09de67,1781335440,
fp32_ft,1,16,0.3395,0.0215,0.6486,0.6196,0.3702,8.03,0.0,4c4b342a6d09de67,1781335445,
fp32_ft,1,17,0.2754,0.0316,0.2733,0.7323,0.3013,8.04,0.0,4c4b342a6d09de67,1781335449,
fp32_ft,1,18,0.208,0.0336,0.1087,0.761,0.223,7.65,0.0,4c4b342a6d09de67,1781335457,
fp32_ft,1,19,0.1911,0.0643,0.1941,0.4119,0.3036,7.88,0.0,4c4b342a6d09de67,1781335462,
fp32_ft,1,20,0.1428,0.027,0.1629,0.3215,0.2264,7.91,0.0,4c4b342a6d09de67,1781335467,
fp32_ft,1,21,0.2356,0.0802,0.0809,0.3754,0.4358,7.93,0.0,4c4b342a6d09de67,1781335473,
fp32_ft,1,22,0.2748,0.0523,0.34,0.5746,0.2785,8.23,0.0,4c4b342a6d09de67,1781335478,
