bg_level,n_streams,placement_name,placement_spec,mean_sap,worst_sap,sap_var,mean_map,worst_map,mean_latency,frame_skip_total,n_active_streams,wall_sec,s0_dev,s0_sid,s0_sap,s0_sap_s,s0_sap_m,s0_sap_l,s0_map,s0_lat,s0_skip,s1_dev,s1_sid,s1_sap,s1_sap_s,s1_sap_m,s1_sap_l,s1_map,s1_lat,s1_skip,s2_dev,s2_sid,s2_sap,s2_sap_s,s2_sap_m,s2_sap_l,s2_map,s2_lat,s2_skip,s3_dev,s3_sid,s3_sap,s3_sap_s,s3_sap_m,s3_sap_l,s3_map,s3_lat,s3_skip,s4_dev,s4_sid,s4_sap,s4_sap_s,s4_sap_m,s4_sap_l,s4_map,s4_lat,s4_skip,s5_dev,s5_sid,s5_sap,s5_sap_s,s5_sap_m,s5_sap_l,s5_map,s5_lat,s5_skip,s6_dev,s6_sid,s6_sap,s6_sap_s,s6_sap_m,s6_sap_l,s6_map,s6_lat,s6_skip,s7_dev,s7_sid,s7_sap,s7_sap_s,s7_sap_m,s7_sap_l,s7_map,s7_lat,s7_skip
L1,4,Oracle,"[""GPU"", ""NPU"", ""NPU"", ""GPU""]",0.1356,0.1111,0.00105,0.2313,0.1492,22.29,14.6,4,11.6,GPU,2,0.1189,0.0161,0.1702,0.554,0.1492,24.43,6.4,NPU,22,0.1914,0.001,0.1733,0.6141,0.1996,20.39,0.4,NPU,3,0.1211,0.0005,0.1808,0.3389,0.2899,19.97,0.2,GPU,21,0.1111,0.01,0.0444,0.2551,0.2865,24.36,7.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L1,4,Oracle,"[""GPU"", ""NPU"", ""GPU"", ""NPU""]",0.135,0.0836,0.001554,0.2268,0.1492,21.93,15.2,4,11.6,GPU,2,0.1184,0.0162,0.168,0.5556,0.1492,23.99,6.6,NPU,22,0.1912,0.001,0.1734,0.6139,0.1996,20.07,0.4,GPU,3,0.1467,0.0035,0.2456,0.308,0.3315,24.19,8.1,NPU,21,0.0836,0.0014,0.0244,0.2127,0.2268,19.48,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L1,4,Oracle,"[""NPU"", ""NPU"", ""NPU"", ""GPU""]",0.1332,0.109,0.001147,0.2272,0.1329,20.53,5.2,4,11.2,NPU,2,0.109,0.0114,0.1424,0.5656,0.1329,19.5,0.2,NPU,22,0.1912,0.001,0.1733,0.614,0.1996,19.54,0.0,NPU,3,0.1214,0.0005,0.1816,0.3389,0.2899,19.43,0.2,GPU,21,0.111,0.01,0.0413,0.2576,0.2865,23.65,4.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L1,4,Oracle,"[""NPU"", ""NPU"", ""GPU"", ""NPU""]",0.1345,0.0834,0.001719,0.2227,0.1329,20.41,3.2,4,11.2,NPU,2,0.109,0.0113,0.1426,0.5659,0.1329,19.65,0.0,NPU,22,0.1912,0.001,0.1733,0.6139,0.1996,19.39,0.2,GPU,3,0.1544,0.0034,0.2559,0.3474,0.3315,23.29,2.5,NPU,21,0.0834,0.0014,0.0244,0.2126,0.2268,19.29,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L1,4,Oracle,"[""NPU"", ""GPU"", ""NPU"", ""NPU""]",0.1311,0.0836,0.002306,0.2171,0.1329,20.28,3.2,4,11.1,NPU,2,0.1089,0.0113,0.1423,0.5656,0.1329,19.47,0.2,GPU,22,0.2109,0.0014,0.1928,0.6448,0.2189,23.14,2.7,NPU,3,0.1209,0.0004,0.1816,0.3378,0.2899,19.27,0.2,NPU,21,0.0836,0.0014,0.0244,0.2127,0.2268,19.23,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L1,4,Oracle,"[""GPU"", ""NPU"", ""NPU"", ""NPU""]",0.129,0.0836,0.00152,0.2164,0.1492,20.38,3.4,4,11.2,GPU,2,0.1196,0.0163,0.1713,0.569,0.1492,23.55,3.4,NPU,22,0.1912,0.001,0.1733,0.614,0.1996,19.68,0.0,NPU,3,0.1214,0.0005,0.1816,0.339,0.2899,19.12,0.0,NPU,21,0.0836,0.0014,0.0244,0.2127,0.2268,19.15,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L1,4,Oracle,"[""NPU"", ""NPU"", ""NPU"", ""NPU""]",0.1263,0.0836,0.001591,0.2123,0.1329,18.75,0.0,4,9.0,NPU,2,0.109,0.0113,0.1426,0.5659,0.1329,18.76,0.0,NPU,22,0.1912,0.001,0.1733,0.614,0.1996,18.84,0.0,NPU,3,0.1214,0.0005,0.1816,0.339,0.2899,18.77,0.0,NPU,21,0.0836,0.0014,0.0244,0.2127,0.2268,18.62,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L1,5,Naive_allGPU+Oracle,"[""GPU"", ""GPU"", ""GPU"", ""GPU"", ""GPU""]",0.1227,0.0743,0.002109,0.1966,0.1192,38.64,288.7,1,23.2,GPU,2,0.0909,0.013,0.1029,0.4019,0.1192,40.64,63.0,GPU,22,0.1939,0.0015,0.1902,0.5926,0.1724,41.6,66.4,GPU,13,0.1595,0.0087,0.0948,0.3631,0.2079,28.37,27.6,GPU,3,0.0948,0.0021,0.1902,0.2373,0.2559,41.54,65.7,GPU,21,0.0743,0.0083,0.0147,0.1962,0.2275,41.06,66.1,,,,,,,,,,,,,,,,,,,,,,,,,,,
L1,5,SizeAware+Oracle,"[""NPU"", ""NPU"", ""NPU"", ""GPU"", ""GPU""]",0.1436,0.098,0.001517,0.2343,0.1329,23.42,44.1,5,17.4,NPU,2,0.109,0.0114,0.1423,0.5658,0.1329,21.02,0.5,NPU,22,0.1912,0.001,0.1733,0.6139,0.1996,21.09,0.4,NPU,13,0.1874,0.0038,0.086,0.3993,0.2209,19.31,0.3,GPU,3,0.1325,0.0032,0.243,0.2892,0.3315,27.98,22.5,GPU,21,0.098,0.0099,0.0274,0.2448,0.2865,27.72,20.3,,,,,,,,,,,,,,,,,,,,,,,,,,,
L1,5,SizeBlindRev+Oracle,"[""GPU"", ""GPU"", ""GPU"", ""NPU"", ""NPU""]",0.1362,0.0836,0.001966,0.219,0.1393,25.54,84.0,5,22.3,GPU,2,0.1017,0.0151,0.13,0.4816,0.1393,31.15,33.5,GPU,22,0.2021,0.0015,0.1917,0.6164,0.2084,30.57,31.8,GPU,13,0.1723,0.0091,0.099,0.3791,0.2304,25.3,18.5,NPU,3,0.1213,0.0005,0.1816,0.3389,0.2899,20.49,0.2,NPU,21,0.0836,0.0014,0.0244,0.2127,0.2268,20.2,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
