device,rep,sid,sap_s,sap_m,sap_l,skip,lat
GPU,1,0,0.014518699915510446,0.1163581614546071,0.44874339864654533,0.0,7.735029838115285
NPU,1,0,0.008924859007336524,0.10040213289618885,0.4074871325208682,0.0,9.758541148784651
GPU,1,1,0.0014118189803259153,0.08079909259379049,0.22988610636652138,0.0,7.6124651697555175
NPU,1,1,0.001945423304750868,0.06672321249651975,0.19836763702088311,0.0,9.437400903274764
GPU,1,2,0.008204947263603084,0.1387398085867008,0.5830987148839863,0.0,8.224112026240668
NPU,1,2,0.005749456475353198,0.13177369633575484,0.5649530037767779,0.0,10.192703277483616
GPU,1,3,0.0003391666806432196,0.19192984052408432,0.3242111644824496,0.0,8.1511524286163
NPU,1,3,2.8698522026115655e-05,0.14851245990958992,0.30821654384541086,0.0,9.994047143486108
GPU,1,4,0.0,0.11242799099213713,0.3611075173045117,0.0,8.092553168535233
NPU,1,4,0.0,0.06925065010910957,0.4277362269518583,0.0,10.93207411468029
GPU,1,5,0.018642851198519588,0.18828284053398833,0.46552516981835457,0.0,8.146196314432089
NPU,1,5,0.011776021299608952,0.1474312475242023,0.43312272382215977,0.0,10.089073945017693
GPU,1,6,0.005229545881014492,0.07094913653656817,0.3618040049090717,0.0,7.843273375734925
NPU,1,6,0.004835764892714417,0.06396311303019683,0.3330394431066692,0.0,9.732889966160942
GPU,1,7,0.00198019801980198,0.17618273647945926,0.44082533558907544,0.0,7.891928768593426
NPU,1,7,0.0,0.1364196999222611,0.39975193163156875,0.0,9.70913177211535
GPU,1,8,0.00906592068307024,0.13320268678777458,0.39069838572040366,0.0,8.319828122161155
NPU,1,8,0.0073361756522271546,0.08998563799618012,0.37545737035937643,0.0,10.526039988495583
GPU,1,9,0.002428581730322388,0.10950175130419566,0.23832859743500723,0.0,8.254377085246158
NPU,1,9,0.0013985148514851487,0.10986946227446155,0.2537417855116585,0.0,10.074594564605178
GPU,1,10,0.01985945592929019,0.1367761664152755,0.2938907068189981,0.0,7.781682758156313
NPU,1,10,0.014338049026634514,0.12071211558700738,0.24143984194720208,0.0,9.814984754684868
GPU,1,11,0.005078596928518762,0.17193187020787548,0.5558393540259159,0.0,8.149961653314145
NPU,1,11,0.00416448058322656,0.13989199983026807,0.52115291459057,0.0,10.101076382309643
GPU,1,12,0.06748090439400871,0.393688302021785,0.8546488738930541,0.0,8.05325931731552
NPU,1,12,0.020849854867742348,0.29551455278953626,0.881349290677756,0.0,9.893775257814447
GPU,1,13,0.006480007085223262,0.08499584253202257,0.3085600849589518,0.0,7.741806824083273
NPU,1,13,0.0025422659293834683,0.06700057310424277,0.28995984551365117,0.0,9.895657390528331
GPU,1,14,0.026298395947582723,0.1653369635917286,0.5305445652923118,0.0,7.424029362324869
NPU,1,14,0.010485675574246386,0.164707482850706,0.49779574864211706,0.0,9.254206746098095
GPU,1,15,0.01271313296773499,0.11526598399828518,0.3916043249236211,0.0,7.716054272457384
NPU,1,15,0.0043077365484291376,0.09627334979856042,0.34629274867786075,0.0,10.992109844931624
GPU,1,16,0.00849660739669079,0.4857539798687086,0.5442086016219253,0.0,7.977744169821772
NPU,1,16,0.0036884180297648856,0.3284178749560443,0.5334435204063881,0.0,9.836228942002142
GPU,1,17,0.015733208238510387,0.22443752143167386,0.6923545820678901,0.0,7.975876733158412
NPU,1,17,0.0103999437805369,0.1752332420030411,0.6535289992462464,0.0,9.98385086488188
GPU,1,18,0.014427762844565853,0.090563286424314,0.7277899598266458,0.0,7.665026201583214
NPU,1,18,0.005930530146360876,0.07639784647049198,0.67986902519637,0.0,9.526939534429294
GPU,1,19,0.013278932488096772,0.09591139856727735,0.3737602836923569,0.0,8.09352058883107
NPU,1,19,0.01128984089140142,0.08339322834022751,0.360325966371977,0.0,9.772439615442119
GPU,1,20,0.009159851635039762,0.06897480565729178,0.2831213276146871,0.0,7.823146828757875
NPU,1,20,0.006859135144315109,0.06643235394697986,0.2660309840784743,0.0,9.70504930187738
GPU,1,21,0.005158668128011215,0.045466346670645946,0.23956529254471734,0.0,7.928984040279866
NPU,1,21,0.001588971397139714,0.02954700008497575,0.2121675500852824,0.0,9.740852277751392
GPU,1,22,0.0006388017990725737,0.17959902507939535,0.7260446074438339,0.0,8.813472812095386
NPU,1,22,0.0020675276160960674,0.15594536265282669,0.7251020668584376,0.0,10.385704040527344
GPU,1,23,0.02132384841831879,0.1484643339364253,0.49456486050703036,0.0,8.195117886146802
NPU,1,23,0.01845801750919583,0.12533277904531484,0.45570647590739405,0.0,9.734530395336366
GPU,2,0,0.014518699915510446,0.1163581614546071,0.44874339864654533,0.0,7.983852062378631
NPU,2,0,0.008924859007336524,0.10040213289618885,0.4074871325208682,0.0,9.7510034537069
GPU,2,1,0.0014118189803259153,0.08079909259379049,0.22988610636652138,0.0,7.663754727071243
NPU,2,1,0.001945423304750868,0.06672321249651975,0.19836763702088311,0.0,9.472794155028877
GPU,2,2,0.008204947263603084,0.1387398085867008,0.5830987148839863,0.0,8.211802241470927
NPU,2,2,0.005749456475353198,0.13177369633575484,0.5649530037767779,0.0,10.24872784190949
GPU,2,3,0.0003391666806432196,0.19192984052408432,0.3242111644824496,0.0,8.173953817131814
NPU,2,3,2.8698522026115655e-05,0.14851245990958992,0.30821654384541086,0.0,9.992591986495457
GPU,2,4,0.0,0.11242799099213713,0.3611075173045117,0.0,8.254043385386467
NPU,2,4,0.0,0.06925065010910957,0.4277362269518583,0.0,10.16201339662075
GPU,2,5,0.018642851198519588,0.18828284053398833,0.46552516981835457,0.0,8.519685962825145
NPU,2,5,0.011776021299608952,0.1474312475242023,0.43312272382215977,0.0,10.402726895600846
GPU,2,6,0.005229545881014492,0.07094913653656817,0.3618040049090717,0.0,8.41085242790622
NPU,2,6,0.004835764892714417,0.06396311303019683,0.3330394431066692,0.0,10.183618932215662
GPU,2,7,0.00198019801980198,0.17618273647945926,0.44082533558907544,0.0,8.045389227671166
NPU,2,7,0.0,0.1364196999222611,0.39975193163156875,0.0,10.03304681821501
GPU,2,8,0.00906592068307024,0.13320268678777458,0.39069838572040366,0.0,8.487109250800554
NPU,2,8,0.0073361756522271546,0.08998563799618012,0.37545737035937643,0.0,10.338155058927315
GPU,2,9,0.002428581730322388,0.10950175130419566,0.23832859743500723,0.0,8.329500231826515
NPU,2,9,0.0013985148514851487,0.10986946227446155,0.2537417855116585,0.0,10.201599799464955
GPU,2,10,0.01985945592929019,0.1367761664152755,0.2938907068189981,0.0,7.871774358486911
NPU,2,10,0.014338049026634514,0.12071211558700738,0.24143984194720208,0.0,9.782867147288192
GPU,2,11,0.005078596928518762,0.17193187020787548,0.5558393540259159,0.0,8.269586738297367
NPU,2,11,0.00416448058322656,0.13989199983026807,0.52115291459057,0.0,10.210587154436604
GPU,2,12,0.06748090439400871,0.393688302021785,0.8546488738930541,0.0,8.149358297534848
NPU,2,12,0.020849854867742348,0.29551455278953626,0.881349290677756,0.0,10.048406270750563
GPU,2,13,0.006480007085223262,0.08499584253202257,0.3085600849589518,0.0,7.905515218745767
NPU,2,13,0.0025422659293834683,0.06700057310424277,0.28995984551365117,0.0,9.748205835419583
GPU,2,14,0.026298395947582723,0.1653369635917286,0.5305445652923118,0.0,7.670970242278036
NPU,2,14,0.010485675574246386,0.164707482850706,0.49779574864211706,0.0,9.55474883078434
GPU,2,15,0.01271313296773499,0.11526598399828518,0.3916043249236211,0.0,7.872317528419361
NPU,2,15,0.0043077365484291376,0.09627334979856042,0.34629274867786075,0.0,10.076442614145689
GPU,2,16,0.00849660739669079,0.4857539798687086,0.5442086016219253,0.0,8.717721035377311
NPU,2,16,0.0036884180297648856,0.3284178749560443,0.5334435204063881,0.0,10.180163220555473
GPU,2,17,0.015733208238510387,0.22443752143167386,0.6923545820678901,0.0,8.266294136475981
