detector,params_M,phase,rep_idx,sid,device,infer_mode,mxq_path,mxq_sha8,bg_level,sap_5095,sap_50,sap_s,sap_m,sap_l,map_5095,map_s,map_m,map_l,latency_mean,eff_e2e_mean,frame_skip_pct,wall_sec
yolo11m,20.1,a1,0,10,NPU,single,/home/msyu/.mblt_model_zoo/vision/aries/single/yolo11m.mxq,0c95402b,L0,0.1067,0.2459,0.0193,0.0851,0.2041,0.1703,0.0355,0.1933,0.3187,52.6748,52.8374,94.697,15.5412
yolo11m,20.1,a1,0,11,GPU,,,,L0,0.3013,0.4254,0.0085,0.2186,0.6218,0.3198,0.0113,0.271,0.7506,10.3598,10.374,0.0,9.3615
yolo11m,20.1,a1,0,11,NPU,single,/home/msyu/.mblt_model_zoo/vision/aries/single/yolo11m.mxq,0c95402b,L0,0.2523,0.3531,0.0046,0.1044,0.4611,0.199,0.0078,0.1492,0.4808,51.4593,51.4993,92.5859,30.0385
yolo11m,20.1,a1,0,12,GPU,,,,L0,0.4598,0.5818,0.0851,0.4585,0.907,0.4748,0.0851,0.4272,0.9494,10.3689,10.3909,0.0,4.8805
yolo11m,20.1,a1,0,12,NPU,single,/home/msyu/.mblt_model_zoo/vision/aries/single/yolo11m.mxq,0c95402b,L0,0.3886,0.5266,0.0405,0.3069,0.8325,0.2893,0.0309,0.2191,0.6398,48.6159,48.5724,93.4932,15.6479
yolo11m,20.1,a1,0,13,GPU,,,,L0,0.2398,0.3558,0.0234,0.1519,0.4695,0.2899,0.0252,0.2139,0.5981,9.9113,9.9219,0.0,8.8946
yolo11m,20.1,a1,0,13,NPU,single,/home/msyu/.mblt_model_zoo/vision/aries/single/yolo11m.mxq,0c95402b,L0,0.1571,0.3004,0.0103,0.0796,0.344,0.1785,0.0103,0.1181,0.374,49.9984,50.256,91.844,29.8666
yolo11m,20.1,a1,0,14,GPU,,,,L0,0.4928,0.6192,0.1087,0.2213,0.575,0.5439,0.114,0.2455,0.638,9.8178,9.8344,0.0,8.875
yolo11m,20.1,a1,0,14,NPU,single,/home/msyu/.mblt_model_zoo/vision/aries/single/yolo11m.mxq,0c95402b,L0,0.3509,0.5635,0.0734,0.1761,0.3993,0.3311,0.0509,0.1455,0.3897,52.5737,52.8019,93.321,30.0586
yolo11m,20.1,a1,0,15,GPU,,,,L0,0.1392,0.2507,0.03,0.1584,0.4027,0.2222,0.043,0.2598,0.692,10.1407,10.1605,0.0,9.0467
yolo11m,20.1,a1,0,15,NPU,single,/home/msyu/.mblt_model_zoo/vision/aries/single/yolo11m.mxq,0c95402b,L0,0.0634,0.1608,0.0079,0.0597,0.1846,0.1289,0.0147,0.1453,0.4356,51.9187,51.9643,93.7037,29.6338
yolo11m,20.1,a1,0,16,GPU,,,,L0,0.3361,0.4683,0.0153,0.4813,0.6237,0.3712,0.0193,0.5183,0.743,10.2154,10.2348,0.0,4.8074
yolo11m,20.1,a1,0,16,NPU,single,/home/msyu/.mblt_model_zoo/vision/aries/single/yolo11m.mxq,0c95402b,L0,0.3515,0.5583,0.0084,0.5339,0.5556,0.3184,0.01,0.4315,0.6,49.4131,50.1512,92.1986,15.6547
yolo11m,20.1,a1,0,17,GPU,,,,L0,0.3026,0.4376,0.031,0.3201,0.7601,0.3383,0.0342,0.355,0.8455,10.344,10.3527,0.0,4.925
