sid,log_id,device,sap_5095,sap_50,sap_s,sap_m,sap_l,map_5095,map_s,map_m,map_l,latency_mean,eff_e2e_mean,frame_skip_pct,wall_sec
11,7d37fc6b-1028-3f6f-b980-adb5fa73021e,NPU,0.2809,0.3748,0.0048,0.1643,0.6074,0.2927,0.0059,0.1978,0.7187,10.2714,10.2863,0.0,9.284
12,85bc130b-97ae-37fb-a129-4fc07c80cca7,CPU,0.4822,0.6271,0.0676,0.478,0.8863,0.4935,0.0682,0.4349,0.9175,30.6084,30.6135,0.9112,14.3731
12,85bc130b-97ae-37fb-a129-4fc07c80cca7,GPU,0.4825,0.6272,0.0678,0.4786,0.8864,0.4935,0.0686,0.4349,0.9175,8.5522,8.5775,0.0,4.0301
12,85bc130b-97ae-37fb-a129-4fc07c80cca7,NPU,0.4335,0.5495,0.0283,0.3744,0.8884,0.4462,0.0283,0.3415,0.9241,10.0234,10.0497,0.0,4.7218
13,aeb73d7a-8257-3225-972e-99307b3a5cb0,CPU,0.198,0.2914,0.0094,0.1099,0.4046,0.2415,0.0097,0.1549,0.5245,30.0631,30.0777,1.6185,26.9482
13,aeb73d7a-8257-3225-972e-99307b3a5cb0,GPU,0.1986,0.2934,0.0096,0.1104,0.4074,0.2415,0.0097,0.155,0.5245,8.1635,8.1808,0.0,7.3357
13,aeb73d7a-8257-3225-972e-99307b3a5cb0,NPU,0.1874,0.2745,0.0038,0.0861,0.3991,0.2209,0.0045,0.1216,0.4815,9.6967,9.6909,0.0,8.6895
14,b1ca08f1-24b0-3c39-ba4e-d5a92868462c,CPU,0.4475,0.5737,0.0572,0.2149,0.6701,0.4965,0.0592,0.23,0.7463,29.8837,29.892,1.9518,26.962
14,b1ca08f1-24b0-3c39-ba4e-d5a92868462c,GPU,0.4502,0.5738,0.0568,0.2154,0.6734,0.4963,0.0591,0.23,0.7463,7.9189,7.9358,0.0,7.164
14,b1ca08f1-24b0-3c39-ba4e-d5a92868462c,NPU,0.4114,0.5217,0.0136,0.199,0.6555,0.4512,0.0154,0.2172,0.7128,9.3704,9.3759,0.0,8.4641
15,c9d6ebeb-be15-3df8-b6f1-5575bea8e6b9,CPU,0.1163,0.224,0.0195,0.1346,0.3776,0.1787,0.0244,0.2083,0.626,30.2366,30.2508,1.1641,26.9219
