detector,params_M,phase,sid,device,bg_level,sap_5095,sap_50,sap_s,sap_m,sap_l,map_5095,map_s,map_m,map_l,latency_mean,eff_e2e_mean,frame_skip_pct,wall_sec
yolov8n,3.2,ladder,13,GPU,L1_heavy,0.1037,0.1866,0.0033,0.0592,0.2357,0.12,0.0033,0.075,0.2845,18.4255,18.4712,0.2312,16.5501
yolov8n,3.2,ladder,13,GPU,L2_lm,0.0991,0.1824,0.003,0.0562,0.2279,0.12,0.0033,0.0751,0.2842,27.7327,27.7476,16.5701,24.7977
yolov8n,3.2,ladder,13,GPU,L3_vlm,0.0043,0.0123,0.0016,0.007,0.0059,0.0216,0.001,0.0099,0.0273,350.5266,351.7957,100.0,29.9055
yolov8n,3.2,ladder,14,GPU,L1_light,0.3641,0.4705,0.0023,0.15,0.4691,0.4008,0.0044,0.1627,0.5148,17.5379,17.5265,0.1148,15.8088
yolov8n,3.2,ladder,14,GPU,L1_heavy,0.3646,0.4705,0.0023,0.1499,0.4695,0.4008,0.0044,0.1627,0.5148,18.3455,18.3904,0.2296,16.5903
yolov8n,3.2,ladder,14,GPU,L2_lm,0.3565,0.4693,0.0023,0.1483,0.4593,0.4008,0.0044,0.1627,0.5148,26.0518,26.0371,9.9885,23.4859
yolov8n,3.2,ladder,14,GPU,L3_vlm,0.0543,0.1081,0.0,0.0631,0.0655,0.0364,0.0,0.0142,0.0464,390.7749,389.906,100.0,30.4155
yolov8n,3.2,ladder,15,GPU,L1_light,0.0783,0.1457,0.0029,0.0864,0.3257,0.1249,0.004,0.1401,0.5329,17.5555,17.5673,0.1164,15.6355
yolov8n,3.2,ladder,15,GPU,L1_heavy,0.0783,0.1454,0.0029,0.0861,0.3241,0.1249,0.004,0.1401,0.5329,18.3106,18.275,0.5821,16.2643
yolov8n,3.2,ladder,15,GPU,L2_lm,0.0722,0.141,0.0028,0.0804,0.2866,0.1241,0.004,0.1397,0.5304,27.7426,27.8648,16.7251,24.6894
yolov8n,3.2,ladder,15,GPU,L3_vlm,0.0028,0.009,0.0003,0.0054,0.0051,0.0164,0.0023,0.016,0.0573,349.7073,343.1479,98.2456,29.8567
yolov8n,3.2,ladder,16,GPU,L1_light,0.1315,0.2264,0.0034,0.143,0.3883,0.1499,0.0041,0.1471,0.4878,17.3014,17.3225,0.0,8.1328
