part,composition,n_streams,bg_level,placement_name,placement_spec,mean_sap,worst_sap,sap_var,mean_map,worst_map,mean_latency,frame_skip_total,n_active_streams,wall_sec,s0_dev,s0_sid,s0_sap,s0_sap_s,s0_sap_m,s0_sap_l,s0_map,s0_lat,s0_skip,s1_dev,s1_sid,s1_sap,s1_sap_s,s1_sap_m,s1_sap_l,s1_map,s1_lat,s1_skip,s2_dev,s2_sid,s2_sap,s2_sap_s,s2_sap_m,s2_sap_l,s2_map,s2_lat,s2_skip,s3_dev,s3_sid,s3_sap,s3_sap_s,s3_sap_m,s3_sap_l,s3_map,s3_lat,s3_skip,s4_dev,s4_sid,s4_sap,s4_sap_s,s4_sap_m,s4_sap_l,s4_map,s4_lat,s4_skip,s5_dev,s5_sid,s5_sap,s5_sap_s,s5_sap_m,s5_sap_l,s5_map,s5_lat,s5_skip,s6_dev,s6_sid,s6_sap,s6_sap_s,s6_sap_m,s6_sap_l,s6_map,s6_lat,s6_skip,s7_dev,s7_sid,s7_sap,s7_sap_s,s7_sap_m,s7_sap_l,s7_map,s7_lat,s7_skip
B,A_baseline,8,L1_light,AllNPU,"[""NPU"", ""NPU"", ""NPU"", ""NPU"", ""NPU"", ""NPU"", ""NPU"", ""NPU""]",0.2079,0.0817,0.012219,0.2647,0.1329,20.35,5.1,8,16.3,NPU,2,0.1089,0.0113,0.1417,0.5649,0.1329,21.81,0.9,NPU,22,0.1908,0.001,0.1733,0.613,0.1996,21.94,1.1,NPU,13,0.1866,0.0038,0.0861,0.3984,0.2209,18.03,0.3,NPU,16,0.3585,0.0051,0.4956,0.682,0.3906,20.83,0.2,NPU,3,0.1213,0.0005,0.1816,0.3385,0.2899,21.18,0.2,NPU,21,0.0817,0.0014,0.023,0.2106,0.2268,21.54,1.8,NPU,14,0.4106,0.0137,0.1989,0.6548,0.4512,17.95,0.5,NPU,4,0.2047,0.0,0.0816,0.5458,0.2059,19.53,0.0
B,A_baseline,8,L1_heavy,Naive_allGPU,"[""GPU"", ""GPU"", ""GPU"", ""GPU"", ""GPU"", ""GPU"", ""GPU"", ""GPU""]",0.147,0.0557,0.006914,0.1536,0.0702,61.28,639.4,1,27.9,GPU,2,0.0747,0.0097,0.075,0.3482,0.0702,71.52,93.6,GPU,22,0.1767,0.0012,0.1858,0.5341,0.1054,69.35,93.5,GPU,13,0.1197,0.0083,0.0704,0.3074,0.1579,42.55,50.7,GPU,16,0.1493,0.0063,0.4901,0.2203,0.1247,73.01,95.1,GPU,3,0.0672,0.0022,0.1267,0.1065,0.1616,68.52,95.0,GPU,21,0.0557,0.006,0.0089,0.1517,0.1342,71.12,92.6,GPU,14,0.3175,0.0548,0.1974,0.4984,0.348,41.95,46.8,GPU,4,0.2154,0.0,0.1317,0.5359,0.1271,52.19,72.0
B,A_baseline,8,L1_heavy,SizeAware_NPU4,"[""NPU"", ""NPU"", ""NPU"", ""NPU"", ""GPU"", ""GPU"", ""GPU"", ""GPU""]",0.1933,0.061,0.011362,0.2251,0.1329,34.34,272.4,5,25.6,NPU,2,0.1088,0.0113,0.142,0.5658,0.1329,20.26,0.5,NPU,22,0.1912,0.001,0.1733,0.614,0.1996,20.26,0.0,NPU,13,0.1874,0.0038,0.0861,0.3991,0.2209,17.95,0.0,NPU,16,0.3591,0.0051,0.4956,0.6831,0.3906,19.29,0.0,GPU,3,0.0756,0.0022,0.1628,0.1444,0.1771,58.43,89.4,GPU,21,0.061,0.0073,0.0102,0.1662,0.1442,58.65,89.0,GPU,14,0.3497,0.0566,0.2054,0.5433,0.3913,35.39,35.7,GPU,4,0.2135,0.0,0.1326,0.5358,0.1441,44.45,57.8
B,A_baseline,8,L1_heavy,SizeAware_NPU6,"[""NPU"", ""NPU"", ""NPU"", ""NPU"", ""GPU"", ""NPU"", ""NPU"", ""GPU""]",0.2034,0.078,0.013409,0.2458,0.1329,27.61,150.3,6,20.6,NPU,2,0.1084,0.0112,0.14,0.5622,0.1329,22.7,2.5,NPU,22,0.1902,0.0011,0.1732,0.6113,0.1996,23.79,3.8,NPU,13,0.1852,0.0038,0.086,0.3965,0.2209,19.43,0.8,NPU,16,0.3588,0.0051,0.4969,0.6799,0.3906,21.42,1.4,GPU,3,0.078,0.0019,0.1669,0.1141,0.1902,52.48,85.2,NPU,21,0.081,0.0013,0.0225,0.2096,0.2268,21.6,2.3,NPU,14,0.4101,0.0136,0.1993,0.6545,0.4512,19.14,0.9,GPU,4,0.2154,0.0,0.1327,0.5378,0.1538,40.37,53.4
B,A_baseline,8,L1_heavy,AllNPU,"[""NPU"", ""NPU"", ""NPU"", ""NPU"", ""NPU"", ""NPU"", ""NPU"", ""NPU""]",0.2061,0.0818,0.012096,0.2644,0.1329,22.97,43.2,8,18.4,NPU,2,0.1059,0.0109,0.1333,0.5458,0.1329,24.76,7.1,NPU,22,0.1913,0.0011,0.1732,0.6105,0.1986,25.22,10.8,NPU,13,0.1872,0.0038,0.0852,0.3982,0.2209,20.3,3.0,NPU,16,0.3573,0.0052,0.4945,0.6757,0.3906,23.26,4.3,NPU,3,0.1161,0.0005,0.1724,0.3176,0.2899,24.32,5.6,NPU,21,0.0818,0.0014,0.0238,0.2086,0.2268,23.45,5.2,NPU,14,0.4055,0.0135,0.1991,0.649,0.4498,20.36,2.8,NPU,4,0.2041,0.0,0.0816,0.5448,0.2059,22.06,4.4
B,A_baseline,8,L2_lm,Naive_allGPU,"[""GPU"", ""GPU"", ""GPU"", ""GPU"", ""GPU"", ""GPU"", ""GPU"", ""GPU""]",0.1129,0.0375,0.005199,0.095,0.0415,104.02,728.7,0,30.0,GPU,2,0.0569,0.0056,0.0469,0.2776,0.0415,123.57,96.8,GPU,22,0.1508,0.0006,0.1743,0.4402,0.0605,132.45,95.6,GPU,13,0.0646,0.0067,0.0459,0.2384,0.0867,68.76,84.2,GPU,16,0.1073,0.0066,0.3736,0.1348,0.0765,116.57,95.8,GPU,3,0.0418,0.0005,0.0579,0.0575,0.0939,116.29,93.3,GPU,21,0.0375,0.0034,0.0057,0.1018,0.0795,133.22,98.9,GPU,14,0.2289,0.0519,0.1877,0.4039,0.2393,63.54,78.6,GPU,4,0.2151,0.0,0.1299,0.5366,0.0818,77.78,85.5
B,A_baseline,8,L2_lm,SizeAware_NPU4,"[""NPU"", ""NPU"", ""NPU"", ""NPU"", ""GPU"", ""GPU"", ""GPU"", ""GPU""]",0.1534,0.0406,0.007636,0.1529,0.0784,66.48,671.6,0,29.5,NPU,2,0.0771,0.0083,0.0728,0.3838,0.0882,51.43,89.2,NPU,22,0.1715,0.0011,0.1702,0.5303,0.1328,49.39,87.0,NPU,13,0.1378,0.0029,0.0601,0.3218,0.1768,38.86,60.9,NPU,16,0.2875,0.0046,0.3379,0.4877,0.2713,49.49,91.7,GPU,3,0.0483,0.0007,0.0886,0.0589,0.1041,111.2,98.2,GPU,21,0.0406,0.0049,0.0064,0.114,0.0784,109.0,99.1,GPU,14,0.2487,0.0528,0.1898,0.4172,0.2807,52.19,61.8,GPU,4,0.2156,0.0,0.1333,0.5355,0.0909,70.25,83.7
B,A_baseline,8,L2_lm,SizeAware_NPU6,"[""NPU"", ""NPU"", ""NPU"", ""NPU"", ""GPU"", ""NPU"", ""NPU"", ""GPU""]",0.1622,0.0452,0.009691,0.1764,0.089,52.11,636.0,0,29.2,NPU,2,0.0765,0.0078,0.0702,0.3716,0.089,50.75,89.9,NPU,22,0.1689,0.001,0.1696,0.5206,0.1314,50.12,87.9,NPU,13,0.1291,0.0032,0.0569,0.3117,0.1606,39.4,63.4,NPU,16,0.2915,0.0043,0.3947,0.504,0.2824,45.29,81.0,GPU,3,0.0545,0.0016,0.1058,0.098,0.1239,87.43,97.3,NPU,21,0.0452,0.0004,0.0037,0.1393,0.1533,47.16,83.4,NPU,14,0.3184,0.0118,0.1882,0.5275,0.3626,37.16,50.1,GPU,4,0.2135,0.0,0.1292,0.5336,0.1075,59.54,82.9
B,A_baseline,8,L2_lm,AllNPU,"[""NPU"", ""NPU"", ""NPU"", ""NPU"", ""NPU"", ""NPU"", ""NPU"", ""NPU""]",0.1688,0.048,0.010102,0.2067,0.1032,41.94,569.9,0,29.6,NPU,2,0.0818,0.0087,0.0808,0.3909,0.1032,43.8,80.0,NPU,22,0.1727,0.0009,0.1683,0.5354,0.1433,47.16,84.6,NPU,13,0.1335,0.0037,0.0643,0.3315,0.1712,36.18,52.6,NPU,16,0.3064,0.0044,0.4201,0.5237,0.2978,45.04,87.2,NPU,3,0.0692,0.0002,0.1448,0.1693,0.2115,44.16,78.8,NPU,21,0.048,0.0005,0.0053,0.1424,0.1617,43.63,74.5,NPU,14,0.3338,0.0129,0.1869,0.5456,0.3941,37.15,57.2,NPU,4,0.2051,0.0,0.0815,0.5449,0.1707,38.38,55.0
B,A_baseline,8,L3_vlm,Naive_allGPU,"[""GPU"", ""GPU"", ""GPU"", ""GPU"", ""GPU"", ""GPU"", ""GPU"", ""GPU""]",0.0705,0.0129,0.004425,0.0349,0.0205,299.03,797.6,0,30.2,GPU,2,0.0285,0.0025,0.0285,0.1422,0.0205,263.82,100.0,GPU,22,0.12,0.0005,0.1612,0.343,0.0255,301.73,100.0,GPU,13,0.0129,0.0019,0.0106,0.0277,0.0349,332.32,100.0,GPU,16,0.0372,0.0029,0.2405,0.0501,0.0314,274.49,100.0,GPU,3,0.0227,0.0004,0.0381,0.026,0.0466,280.02,100.0,GPU,21,0.0212,0.0035,0.0028,0.0571,0.0374,286.1,100.0,GPU,14,0.1076,0.0379,0.1136,0.2442,0.056,330.5,100.0,GPU,4,0.2143,0.0,0.1263,0.5319,0.027,323.27,97.6
