detector,params_M,phase,sid,device,infer_mode,mxq_path,bg_level,sap_5095,sap_50,sap_s,sap_m,sap_l,map_5095,map_s,map_m,map_l,latency_mean,eff_e2e_mean,frame_skip_pct,wall_sec
yolo11s,9.4,ladder,17,GPU,,,L3_vlm,0.0362,0.0996,0.0018,0.0481,0.0927,0.0267,0.0032,0.0293,0.0587,447.3019,412.8334,100.0,16.1019
yolo11s,9.4,ladder,18,GPU,,,L1_light,0.2029,0.2542,0.0179,0.097,0.7542,0.2208,0.0201,0.1206,0.8401,19.8525,19.8369,2.2962,17.896
yolo11s,9.4,ladder,18,GPU,,,L1_heavy,0.2028,0.2558,0.0179,0.0963,0.7522,0.2208,0.0201,0.1206,0.8401,22.6383,22.6467,4.248,20.4301
yolo11s,9.4,ladder,18,GPU,,,L2_lm,0.1944,0.2528,0.0164,0.0869,0.7141,0.2201,0.0196,0.12,0.8335,29.9895,30.0257,27.9123,26.9746
yolo11s,9.4,ladder,18,GPU,,,L3_vlm,0.0834,0.1483,0.0012,0.0087,0.2523,0.0188,0.002,0.0095,0.071,418.2887,419.6857,100.0,30.22
yolo11s,9.4,ladder,19,GPU,,,L1_light,0.1208,0.2036,0.0127,0.122,0.3753,0.1831,0.0182,0.2346,0.6045,18.1827,18.1628,0.2294,8.4745
yolo11s,9.4,ladder,19,GPU,,,L1_heavy,0.1204,0.2035,0.0128,0.1215,0.3742,0.1831,0.0182,0.2346,0.6045,21.2912,21.1423,1.1468,9.863
yolo11s,9.4,ladder,19,GPU,,,L2_lm,0.103,0.1858,0.012,0.0965,0.3088,0.1806,0.0177,0.2312,0.6,31.2165,31.2808,35.4167,14.4768
yolo11s,9.4,ladder,19,GPU,,,L3_vlm,0.0163,0.0388,0.0017,0.0039,0.0438,0.0187,0.0034,0.0212,0.0413,336.6372,409.1929,100.0,15.96
yolo11s,9.4,ladder,20,GPU,,,L1_light,0.1058,0.1787,0.0083,0.0795,0.3138,0.1607,0.0091,0.1798,0.5289,18.4024,18.3921,0.0,8.6358
yolo11s,9.4,ladder,20,GPU,,,L1_heavy,0.1052,0.1775,0.0083,0.0786,0.3134,0.1607,0.0091,0.1798,0.5289,20.9007,20.8802,2.2779,9.8031
yolo11s,9.4,ladder,20,GPU,,,L2_lm,0.0928,0.159,0.0083,0.0691,0.2542,0.1607,0.0091,0.1798,0.5289,30.7216,30.8395,30.2961,14.4877
yolo11s,9.4,ladder,20,GPU,,,L3_vlm,0.0089,0.0321,0.0014,0.0123,0.0162,0.0159,0.0021,0.018,0.0368,358.7591,436.2092,100.0,15.7048
yolo11s,9.4,ladder,21,GPU,,,L1_light,0.1149,0.2931,0.01,0.0469,0.2612,0.2865,0.0117,0.2904,0.5051,18.4441,18.4341,0.4556,8.6554
yolo11s,9.4,ladder,21,GPU,,,L1_heavy,0.1148,0.2931,0.01,0.0467,0.2616,0.2865,0.0117,0.2904,0.5051,21.5156,21.5536,0.9112,10.1194
yolo11s,9.4,ladder,21,GPU,,,L2_lm,0.096,0.2337,0.0095,0.0281,0.2338,0.284,0.0117,0.2905,0.5001,31.5156,31.5527,37.0968,14.6529
yolo11s,9.4,ladder,21,GPU,,,L3_vlm,0.0115,0.0422,0.0017,0.0019,0.0328,0.0281,0.0017,0.0304,0.0439,473.7116,473.9909,100.0,16.1169
yolo11s,9.4,ladder,22,GPU,,,L1_light,0.2112,0.3636,0.0014,0.193,0.647,0.2189,0.0023,0.1946,0.682,18.65,18.6172,0.4494,8.8533
yolo11s,9.4,ladder,22,GPU,,,L1_heavy,0.2108,0.3634,0.0014,0.1932,0.646,0.2189,0.0023,0.1946,0.682,21.6067,21.6268,1.3483,10.2832
yolo11s,9.4,ladder,22,GPU,,,L2_lm,0.2046,0.3548,0.0015,0.192,0.6221,0.2183,0.0023,0.1931,0.6813,31.5246,31.5674,36.7946,14.9706
yolo11s,9.4,ladder,22,GPU,,,L3_vlm,0.1175,0.1971,0.0003,0.1515,0.3383,0.0197,0.0001,0.0171,0.0562,468.279,443.636,100.0,15.9721
yolo11s,9.4,ladder,23,GPU,,,L1_light,0.1555,0.3045,0.0344,0.1692,0.4839,0.2616,0.0491,0.3623,0.6662,18.4645,18.432,0.0,8.7653
yolo11s,9.4,ladder,23,GPU,,,L1_heavy,0.155,0.3043,0.0343,0.1683,0.4825,0.2616,0.0491,0.3623,0.6662,21.0488,21.0493,0.8989,10.0088
yolo11s,9.4,ladder,23,GPU,,,L2_lm,0.1213,0.2501,0.0281,0.1266,0.3961,0.2603,0.0492,0.3607,0.6619,30.8684,30.7514,32.1995,14.4979
yolo11s,9.4,ladder,23,GPU,,,L3_vlm,0.0131,0.0331,0.0008,0.0246,0.0296,0.0261,0.0065,0.0345,0.0593,389.9663,408.534,100.0,16.3427
