table,tag,n_streams,bg_level,placement_name,placement_spec,mean_sap,worst_sap,mean_map,worst_map,wall_sec,s0_dev,s0_sid,s0_sap,s0_sap_s,s0_sap_m,s0_sap_l,s0_map,s0_skip,s1_dev,s1_sid,s1_sap,s1_sap_s,s1_sap_m,s1_sap_l,s1_map,s1_skip,s2_dev,s2_sid,s2_sap,s2_sap_s,s2_sap_m,s2_sap_l,s2_map,s2_skip,s3_dev,s3_sid,s3_sap,s3_sap_s,s3_sap_m,s3_sap_l,s3_map,s3_skip,s4_dev,s4_sid,s4_sap,s4_sap_s,s4_sap_m,s4_sap_l,s4_map,s4_skip,s5_dev,s5_sid,s5_sap,s5_sap_s,s5_sap_m,s5_sap_l,s5_map,s5_skip,s6_dev,s6_sid,s6_sap,s6_sap_s,s6_sap_m,s6_sap_l,s6_map,s6_skip,s7_dev,s7_sid,s7_sap,s7_sap_s,s7_sap_m,s7_sap_l,s7_map,s7_skip
natural,B_medium_mixed_N8,8,L1_heavy,Oracle_k4_p0_1_4_5,"[""NPU"", ""NPU"", ""GPU"", ""GPU"", ""NPU"", ""NPU"", ""GPU"", ""GPU""]",0.1574,0.0593,0.1818,0.0883,27.2,NPU,17,0.2072,0.0105,0.1876,0.6038,0.233,0.7,NPU,8,0.0718,0.0072,0.0825,0.3914,0.0883,1.0,GPU,10,0.0681,0.009,0.0408,0.1432,0.0933,99.4,GPU,11,0.2492,0.002,0.1028,0.4283,0.202,42.5,NPU,2,0.109,0.0113,0.1426,0.5659,0.1329,0.0,NPU,13,0.1873,0.0038,0.0861,0.3989,0.2209,0.6,GPU,3,0.0593,0.0015,0.1143,0.1053,0.1413,96.6,GPU,14,0.307,0.0562,0.1989,0.4896,0.3429,40.5
natural,B_medium_mixed_N8,8,L1_heavy,Oracle_k4_p0_1_5_6,"[""NPU"", ""NPU"", ""GPU"", ""GPU"", ""GPU"", ""NPU"", ""NPU"", ""GPU""]",0.1612,0.067,0.1923,0.0667,27.4,NPU,17,0.2077,0.0104,0.1878,0.6044,0.233,0.0,NPU,8,0.072,0.0081,0.0822,0.3944,0.0883,0.6,GPU,10,0.067,0.0091,0.0394,0.1454,0.0943,99.4,GPU,11,0.2486,0.0022,0.0999,0.4328,0.2022,43.5,GPU,2,0.0737,0.0091,0.0716,0.3432,0.0667,98.3,NPU,13,0.1874,0.0038,0.0861,0.399,0.2209,0.5,NPU,3,0.1214,0.0005,0.1816,0.339,0.2899,0.0,GPU,14,0.3122,0.0564,0.2015,0.5006,0.3432,41.0
natural,C_diverse_N4,4,L1_light,Naive_allGPU,"[""GPU"", ""GPU"", ""GPU"", ""GPU""]",0.1827,0.0612,0.2365,0.0809,23.2,GPU,15,0.0954,0.0161,0.1033,0.2927,0.1736,23.0,GPU,0,0.0612,0.017,0.1249,0.4031,0.0809,20.5,GPU,5,0.398,0.0164,0.2028,0.536,0.4231,46.8,GPU,7,0.1761,0.0005,0.1502,0.3079,0.2686,43.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
natural,C_diverse_N4,4,L1_light,SizeAware,"[""NPU"", ""GPU"", ""GPU"", ""GPU""]",0.1842,0.0599,0.2372,0.0805,23.4,NPU,15,0.1077,0.0092,0.1108,0.3856,0.1654,0.6,GPU,0,0.0599,0.0168,0.1237,0.394,0.0805,22.6,GPU,5,0.3978,0.0156,0.1998,0.5377,0.4354,50.1,GPU,7,0.1716,0.0005,0.1414,0.3124,0.2673,49.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
natural,C_diverse_N4,4,L1_light,SizeBlindRev,"[""GPU"", ""GPU"", ""NPU"", ""NPU""]",0.2019,0.0635,0.242,0.0817,21.3,GPU,15,0.1071,0.0161,0.1182,0.3526,0.1769,13.3,GPU,0,0.0635,0.0173,0.1288,0.4178,0.0817,13.8,NPU,5,0.4378,0.0098,0.1728,0.621,0.4626,1.7,NPU,7,0.1993,0.0,0.1473,0.3983,0.2467,2.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
natural,C_diverse_N4,4,L1_light,AllNPU,"[""NPU"", ""NPU"", ""NPU"", ""NPU""]",0.2014,0.058,0.2367,0.0722,15.5,NPU,15,0.1081,0.0092,0.1119,0.3839,0.1654,1.7,NPU,0,0.058,0.0112,0.1036,0.4328,0.0722,1.8,NPU,5,0.4381,0.0098,0.1728,0.6224,0.4626,0.0,NPU,7,0.2013,0.0,0.1478,0.4071,0.2467,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
natural,C_diverse_N4,4,L1_light,Oracle_k0_pnone,"[""GPU"", ""GPU"", ""GPU"", ""GPU""]",0.1849,0.0612,0.2399,0.0811,23.1,GPU,15,0.0967,0.0158,0.1049,0.3032,0.175,19.5,GPU,0,0.0612,0.0169,0.1246,0.4048,0.0811,19.9,GPU,5,0.3999,0.0146,0.2038,0.5416,0.4327,43.3,GPU,7,0.1817,0.0005,0.1464,0.3333,0.2709,38.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
natural,C_diverse_N4,4,L1_light,Oracle_k1_p3,"[""GPU"", ""GPU"", ""GPU"", ""NPU""]",0.1954,0.0642,0.2379,0.0819,21.6,GPU,15,0.1067,0.0156,0.1164,0.3529,0.1776,12.2,GPU,0,0.0642,0.0175,0.1297,0.4237,0.0819,11.9,GPU,5,0.4099,0.0164,0.2093,0.5586,0.4455,28.4,NPU,7,0.2007,0.0,0.1476,0.4051,0.2467,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
natural,C_diverse_N4,4,L1_light,Oracle_k1_p1,"[""GPU"", ""NPU"", ""GPU"", ""GPU""]",0.1812,0.0583,0.2383,0.0722,23.1,GPU,15,0.0963,0.0161,0.1054,0.2985,0.1757,21.5,NPU,0,0.0583,0.0115,0.1032,0.4342,0.0722,0.5,GPU,5,0.3984,0.0166,0.2013,0.5388,0.4368,47.9,GPU,7,0.1717,0.0005,0.1442,0.3031,0.2684,49.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
natural,C_diverse_N4,4,L1_light,Oracle_k1_p0,"[""NPU"", ""GPU"", ""GPU"", ""GPU""]",0.1852,0.0612,0.2383,0.0814,23.3,NPU,15,0.1077,0.0091,0.1113,0.3854,0.1654,0.6,GPU,0,0.0612,0.0169,0.1247,0.4026,0.0814,20.2,GPU,5,0.3973,0.0149,0.2006,0.5375,0.4303,46.9,GPU,7,0.1747,0.0005,0.1468,0.3118,0.2761,44.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
