rep,bg,N,strategy,placement,worst_sap,mean_sap,gpu_skip,npu_skip
0,L3_vlm,2,Oracle,NN,0.083,0.096,0.0,0.5
1,L3_vlm,2,All-GPU,GG,0.0176,0.0204,100.0,0.0
1,L3_vlm,2,Isolated,GN,0.0221,0.0528,100.0,0.7
1,L3_vlm,2,Cont-aware,NG,0.0175,0.0632,100.0,1.1
1,L3_vlm,2,All-NPU,NN,0.0833,0.0961,0.0,0.5
1,L3_vlm,2,Oracle,NN,0.0833,0.0961,0.0,0.5
2,L3_vlm,2,All-GPU,GG,0.0186,0.0205,100.0,0.0
2,L3_vlm,2,Isolated,GN,0.0202,0.0518,100.0,0.7
2,L3_vlm,2,Cont-aware,NG,0.0179,0.0634,100.0,0.9
2,L3_vlm,2,All-NPU,NN,0.0825,0.0956,0.0,1.3
2,L3_vlm,2,Oracle,NN,0.0825,0.0956,0.0,1.3
0,L1_light,4,All-GPU,GGGG,0.0914,0.1311,35.8,0.0
0,L1_light,4,Isolated,GGNN,0.0836,0.1326,9.5,0.2
0,L1_light,4,Cont-aware,NNGG,0.0998,0.1344,13.7,0.3
0,L1_light,4,All-NPU,NNNN,0.083,0.126,0.0,1.1
0,L1_light,4,Oracle,NNNG,0.1087,0.1326,11.4,0.5
1,L1_light,4,All-GPU,GGGG,0.0902,0.1306,35.0,0.0
1,L1_light,4,Isolated,GGNN,0.0836,0.1319,15.3,0.1
1,L1_light,4,Cont-aware,NNGG,0.0999,0.1327,13.2,0.0
1,L1_light,4,All-NPU,NNNN,0.083,0.1259,0.0,1.1
1,L1_light,4,Oracle,NNNG,0.1086,0.1326,7.5,0.4
2,L1_light,4,All-GPU,GGGG,0.0928,0.1306,35.3,0.0
2,L1_light,4,Isolated,GGNN,0.0836,0.1321,11.9,0.0
2,L1_light,4,Cont-aware,NNGG,0.0959,0.1318,13.9,0.0
2,L1_light,4,All-NPU,NNNN,0.0836,0.1262,0.0,1.0
2,L1_light,4,Oracle,NNNG,0.1086,0.1328,9.6,0.9
0,L1_light,8,All-GPU,GGGGGGGG,0.0538,0.1527,71.8,0.0
0,L1_light,8,Isolated,GGGGNNNN,0.0715,0.1666,77.0,3.8
0,L1_light,8,Cont-aware,NNNNGGGG,0.0538,0.1882,60.9,5.8
0,L1_light,8,All-NPU,NNNNNNNN,0.0829,0.2081,0.0,0.9
1,L1_light,8,All-GPU,GGGGGGGG,0.059,0.1564,71.5,0.0
1,L1_light,8,Isolated,GGGGNNNN,0.0735,0.1668,75.7,3.6
1,L1_light,8,Cont-aware,NNNNGGGG,0.053,0.1882,58.7,6.2
1,L1_light,8,All-NPU,NNNNNNNN,0.0813,0.2075,0.0,1.1
2,L1_light,8,All-GPU,GGGGGGGG,0.0581,0.1519,71.9,0.0
2,L1_light,8,Isolated,GGGGNNNN,0.0719,0.1677,75.6,5.0
2,L1_light,8,Cont-aware,NNNNGGGG,0.0519,0.1879,59.6,6.0
2,L1_light,8,All-NPU,NNNNNNNN,0.0835,0.2079,0.0,1.1
0,L1_light,2,All-GPU,GG,0.1149,0.1181,0.2,0.0
0,L1_light,2,Isolated,GN,0.0836,0.1025,0.0,0.0
0,L1_light,2,Cont-aware,NG,0.109,0.112,0.0,0.2
0,L1_light,2,All-NPU,NN,0.0835,0.0962,0.0,0.5
0,L1_light,2,Oracle,GG,0.1149,0.1181,0.2,0.0
1,L1_light,2,All-GPU,GG,0.1149,0.118,0.6,0.0
1,L1_light,2,Isolated,GN,0.0826,0.102,0.0,0.9
1,L1_light,2,Cont-aware,NG,0.109,0.1121,0.2,0.0
1,L1_light,2,All-NPU,NN,0.0834,0.0961,0.0,0.6
1,L1_light,2,Oracle,GG,0.1149,0.118,0.6,0.0
2,L1_light,2,All-GPU,GG,0.1149,0.1182,0.0,0.0
2,L1_light,2,Isolated,GN,0.0836,0.1025,0.0,0.0
2,L1_light,2,Cont-aware,NG,0.109,0.1119,0.5,0.0
2,L1_light,2,All-NPU,NN,0.0834,0.0962,0.0,0.5
2,L1_light,2,Oracle,GG,0.1149,0.1182,0.0,0.0
