log_id,device,infer_mean_ms,infer_p95_ms,proc_percent,sap_5095,sap_50,sap_small,sap_medium,sap_large,miss_count,frame_count
aeb73d7a-8257-3225-972e-99307b3a5cb0,GPU,7.74,7.97,100.0,0.1975,0.2903,0.0099,0.109,0.4053,1,895
aeb73d7a-8257-3225-972e-99307b3a5cb0,NPU,9.48,10.09,100.0,0.1782,0.2572,0.0038,0.0849,0.3897,1,895
b1ca08f1-24b0-3c39-ba4e-d5a92868462c,CPU,32.27,41.36,99.67,0.4122,0.5656,0.0555,0.2084,0.6301,2,901
b1ca08f1-24b0-3c39-ba4e-d5a92868462c,GPU,7.47,7.73,100.0,0.4478,0.5692,0.0559,0.2147,0.6731,1,901
b1ca08f1-24b0-3c39-ba4e-d5a92868462c,NPU,9.37,9.94,100.0,0.4084,0.5177,0.0118,0.1981,0.6547,1,901
c9d6ebeb-be15-3df8-b6f1-5575bea8e6b9,CPU,29.67,30.43,100.0,0.1132,0.2203,0.0184,0.1339,0.3694,1,889
c9d6ebeb-be15-3df8-b6f1-5575bea8e6b9,GPU,7.81,8.53,100.0,0.1148,0.2236,0.0183,0.1351,0.3795,1,889
c9d6ebeb-be15-3df8-b6f1-5575bea8e6b9,NPU,9.43,10.22,100.0,0.1054,0.1904,0.0087,0.111,0.3859,1,889
cb0cba51-dfaf-34e9-a0c2-d931404c3dd8,CPU,33.55,41.48,98.08,0.2433,0.3943,0.0074,0.5972,0.3957,1,469
cb0cba51-dfaf-34e9-a0c2-d931404c3dd8,GPU,8.06,8.41,100.0,0.2726,0.408,0.0077,0.6276,0.4933,1,469
cb0cba51-dfaf-34e9-a0c2-d931404c3dd8,NPU,9.89,10.6,100.0,0.363,0.4953,0.005,0.4847,0.6846,1,469
cb762bb1-7ce1-3ba5-b53d-13c159b532c8,CPU,30.55,31.53,99.79,0.2399,0.3685,0.02,0.2486,0.626,3,475
cb762bb1-7ce1-3ba5-b53d-13c159b532c8,GPU,8.01,8.31,100.0,0.2413,0.369,0.0204,0.2508,0.6288,1,475
cb762bb1-7ce1-3ba5-b53d-13c159b532c8,NPU,10.24,11.13,100.0,0.2027,0.3101,0.01,0.1869,0.6056,1,475
cd5bb988-092e-396c-8f33-e30969c98535,CPU,29.73,30.98,100.0,0.2024,0.2527,0.0173,0.0969,0.7555,1,901
cd5bb988-092e-396c-8f33-e30969c98535,GPU,7.56,7.89,100.0,0.2027,0.2527,0.0173,0.0973,0.7564,1,901
cd5bb988-092e-396c-8f33-e30969c98535,NPU,9.36,10.09,100.0,0.1794,0.2236,0.0072,0.086,0.7115,1,901
cd64733a-dd8a-3bdf-b46a-b7144226168a,CPU,30.24,30.95,100.0,0.1167,0.1972,0.012,0.1267,0.3684,1,466
cd64733a-dd8a-3bdf-b46a-b7144226168a,GPU,7.85,8.07,100.0,0.1171,0.1989,0.0119,0.1268,0.3706,1,466
cd64733a-dd8a-3bdf-b46a-b7144226168a,NPU,9.87,10.47,100.0,0.1029,0.1627,0.008,0.0936,0.3772,1,466
da734d26-8229-383f-b685-8086e58d1e05,CPU,32.46,40.04,99.15,0.0885,0.1503,0.0084,0.0705,0.2252,2,469
da734d26-8229-383f-b685-8086e58d1e05,GPU,7.76,8.06,100.0,0.1048,0.177,0.0086,0.0841,0.31,1,469
da734d26-8229-383f-b685-8086e58d1e05,NPU,9.73,10.5,100.0,0.1029,0.1694,0.008,0.0738,0.3115,1,469
e9a96218-365b-3ecd-a800-ed2c4c306c78,CPU,33.82,41.97,97.23,0.0813,0.1941,0.0068,0.0225,0.2445,2,469
