detector,sid,log_id,device,bg_level,sap_5095,sap_50,sap_s,sap_m,sap_l,map_5095,map_s,map_m,map_l,latency_mean,eff_e2e_mean,frame_skip_pct,wall_sec
YOLOv11s,13,aeb73d7a-8257-3225-972e-99307b3a5cb0,GPU,L2_lm,0.1812,0.2844,0.0092,0.0939,0.3802,0.2413,0.0097,0.1546,0.5241,29.9308,29.9157,30.3241,26.7861
YOLOv11s,13,aeb73d7a-8257-3225-972e-99307b3a5cb0,GPU,L3_vlm,0.0085,0.0197,0.0018,0.0078,0.0177,0.0233,0.0025,0.0137,0.0401,463.1304,442.4463,100.0,30.0887
YOLOv11s,14,b1ca08f1-24b0-3c39-ba4e-d5a92868462c,GPU,L1_heavy,0.45,0.5738,0.0568,0.2154,0.673,0.4963,0.0591,0.23,0.7463,20.7297,20.7098,0.9185,18.6774
YOLOv11s,14,b1ca08f1-24b0-3c39-ba4e-d5a92868462c,GPU,L2_lm,0.4232,0.5706,0.0573,0.2103,0.6408,0.4936,0.0592,0.2295,0.7431,29.6333,29.7292,25.576,26.7365
YOLOv11s,14,b1ca08f1-24b0-3c39-ba4e-d5a92868462c,GPU,L3_vlm,0.1099,0.1998,0.0385,0.1111,0.2279,0.0485,0.0076,0.023,0.073,394.2791,390.8953,100.0,30.4923
YOLOv11s,15,c9d6ebeb-be15-3df8-b6f1-5575bea8e6b9,GPU,L1_heavy,0.1163,0.2235,0.0196,0.1344,0.3747,0.1787,0.0246,0.2084,0.6261,20.8552,20.8086,1.6298,18.5164
YOLOv11s,15,c9d6ebeb-be15-3df8-b6f1-5575bea8e6b9,GPU,L2_lm,0.0985,0.2118,0.0169,0.1114,0.3021,0.1782,0.0241,0.2076,0.624,30.3485,30.4533,28.9227,26.9678
YOLOv11s,15,c9d6ebeb-be15-3df8-b6f1-5575bea8e6b9,GPU,L3_vlm,0.0035,0.0138,0.0007,0.0059,0.0047,0.0182,0.0034,0.0198,0.0484,419.729,411.8346,100.0,29.6545
YOLOv11s,16,cb0cba51-dfaf-34e9-a0c2-d931404c3dd8,GPU,L1_heavy,0.2456,0.3782,0.0074,0.6427,0.4903,0.2698,0.0086,0.6372,0.6,20.5193,20.5927,0.9112,9.6672
YOLOv11s,16,cb0cba51-dfaf-34e9-a0c2-d931404c3dd8,GPU,L2_lm,0.2278,0.3664,0.0072,0.6188,0.4266,0.2689,0.0086,0.6356,0.5938,31.0856,31.2762,33.871,14.5296
YOLOv11s,16,cb0cba51-dfaf-34e9-a0c2-d931404c3dd8,GPU,L3_vlm,0.0293,0.1065,0.0009,0.062,0.0525,0.0266,0.0012,0.0512,0.0525,450.9125,461.5946,100.0,15.6953
YOLOv11s,17,cb762bb1-7ce1-3ba5-b53d-13c159b532c8,GPU,L1_heavy,0.2478,0.378,0.0213,0.2504,0.6281,0.277,0.0216,0.2789,0.7011,21.1314,21.0195,0.8989,9.9937
YOLOv11s,17,cb762bb1-7ce1-3ba5-b53d-13c159b532c8,GPU,L2_lm,0.2142,0.3668,0.0192,0.2133,0.5499,0.2663,0.0213,0.268,0.6769,33.9286,33.8215,47.7752,15.4696
YOLOv11s,17,cb762bb1-7ce1-3ba5-b53d-13c159b532c8,GPU,L3_vlm,0.0443,0.1111,0.0035,0.0478,0.1724,0.0287,0.0043,0.0287,0.0644,381.9663,387.1842,100.0,15.8759
YOLOv11s,18,cd5bb988-092e-396c-8f33-e30969c98535,GPU,L1_heavy,0.2033,0.2542,0.0179,0.0972,0.756,0.2208,0.0201,0.1206,0.8401,20.524,20.598,0.6889,18.5777
YOLOv11s,18,cd5bb988-092e-396c-8f33-e30969c98535,GPU,L2_lm,0.1951,0.2526,0.0162,0.0904,0.7177,0.2207,0.0201,0.1204,0.8383,29.6554,29.6774,26.092,26.7522
YOLOv11s,18,cd5bb988-092e-396c-8f33-e30969c98535,GPU,L3_vlm,0.0862,0.1496,0.0022,0.0075,0.2631,0.0199,0.0024,0.0128,0.0709,432.8407,435.3993,100.0,30.4803
YOLOv11s,19,cd64733a-dd8a-3bdf-b46a-b7144226168a,GPU,L1_heavy,0.1204,0.2034,0.0127,0.1215,0.3744,0.1831,0.0182,0.2346,0.6045,21.0726,21.1366,1.6055,9.8587
YOLOv11s,19,cd64733a-dd8a-3bdf-b46a-b7144226168a,GPU,L2_lm,0.1033,0.1869,0.0113,0.0984,0.3307,0.182,0.0182,0.2339,0.5949,31.2233,31.2116,33.4101,14.5016
YOLOv11s,19,cd64733a-dd8a-3bdf-b46a-b7144226168a,GPU,L3_vlm,0.0108,0.0267,0.0023,0.0022,0.0316,0.0152,0.0026,0.0178,0.0321,0.0,550.8458,0.0,15.9755
YOLOv11s,20,da734d26-8229-383f-b685-8086e58d1e05,GPU,L1_heavy,0.1052,0.1784,0.0083,0.0788,0.3115,0.1607,0.0091,0.1798,0.5289,21.0724,21.1336,1.3667,9.921
YOLOv11s,20,da734d26-8229-383f-b685-8086e58d1e05,GPU,L2_lm,0.091,0.1584,0.0088,0.0674,0.2511,0.1599,0.0091,0.18,0.5278,30.8459,30.8764,32.9519,14.4403
YOLOv11s,20,da734d26-8229-383f-b685-8086e58d1e05,GPU,L3_vlm,0.01,0.0339,0.0007,0.0105,0.0198,0.0141,0.0013,0.014,0.0425,291.2145,509.9224,100.0,15.8086
YOLOv11s,21,e9a96218-365b-3ecd-a800-ed2c4c306c78,GPU,L1_heavy,0.1148,0.2925,0.01,0.047,0.2609,0.2865,0.0117,0.2904,0.5051,20.872,20.7973,1.139,9.7647
YOLOv11s,21,e9a96218-365b-3ecd-a800-ed2c4c306c78,GPU,L2_lm,0.0895,0.2104,0.0093,0.0222,0.23,0.2839,0.0117,0.2859,0.5046,31.1334,31.123,34.3249,14.5539
YOLOv11s,21,e9a96218-365b-3ecd-a800-ed2c4c306c78,GPU,L3_vlm,0.0156,0.0575,0.0023,0.0023,0.0388,0.0318,0.0017,0.0346,0.0503,499.3184,447.4388,100.0,16.109
YOLOv11s,22,f1008c18-e76e-3c24-adcc-da9858fac145,GPU,L1_heavy,0.2112,0.3638,0.0014,0.1929,0.6478,0.2189,0.0023,0.1946,0.682,21.6646,21.7662,0.4494,10.3482
YOLOv11s,22,f1008c18-e76e-3c24-adcc-da9858fac145,GPU,L2_lm,0.2009,0.3545,0.0014,0.1892,0.6178,0.2157,0.0023,0.1922,0.6745,31.822,31.8165,38.0952,15.0025
YOLOv11s,22,f1008c18-e76e-3c24-adcc-da9858fac145,GPU,L3_vlm,0.1223,0.2046,0.0005,0.1486,0.3501,0.0187,0.0002,0.017,0.0545,522.4267,467.2815,100.0,16.356
YOLOv11s,23,f9fa3960-537f-3151-a1a3-37a9c0d6d7f7,GPU,L1_heavy,0.155,0.3039,0.0342,0.1686,0.482,0.2616,0.0491,0.3623,0.6662,21.1007,21.1432,1.1236,10.0523
YOLOv11s,23,f9fa3960-537f-3151-a1a3-37a9c0d6d7f7,GPU,L2_lm,0.1164,0.2421,0.0293,0.1253,0.3724,0.2611,0.0491,0.3615,0.6634,31.2305,31.3066,35.4402,14.8273
YOLOv11s,23,f9fa3960-537f-3151-a1a3-37a9c0d6d7f7,GPU,L3_vlm,0.0124,0.0296,0.0006,0.0258,0.0308,0.0248,0.0076,0.0315,0.0547,478.1163,448.4911,100.0,16.1469
