detector,params_M,phase,sid,device,bg_level,sap_5095,sap_50,sap_s,sap_m,sap_l,map_5095,map_s,map_m,map_l,latency_mean,eff_e2e_mean,frame_skip_pct,wall_sec
yolov8l,43.7,baseline,6,GPU,L0,0.1399,0.2553,0.0291,0.1231,0.4485,0.2173,0.0317,0.2274,0.7243,11.2866,11.2974,0.0,5.3059
yolov8l,43.7,baseline,6,NPU,L0,0.0558,0.1417,0.0114,0.0461,0.1712,0.1129,0.0144,0.1073,0.4002,58.3773,59.0323,100.0,15.7096
yolov8l,43.7,baseline,7,GPU,L0,0.3114,0.4801,0.002,0.3057,0.5146,0.3978,0.0022,0.3759,0.6973,11.4218,11.447,0.0,5.3647
yolov8l,43.7,baseline,7,NPU,L0,0.1416,0.3094,0.0,0.1347,0.2191,0.1918,0.0,0.1693,0.359,59.081,59.1594,100.0,15.6251
yolov8l,43.7,baseline,8,GPU,L0,0.1667,0.3035,0.0488,0.2149,0.5871,0.1996,0.0563,0.2655,0.7719,11.8578,11.8619,0.0,10.5715
yolov8l,43.7,baseline,8,NPU,L0,0.0744,0.1762,0.0169,0.0725,0.3077,0.0932,0.0182,0.1106,0.4212,57.6765,57.7817,100.0,29.713
yolov8l,43.7,baseline,9,GPU,L0,0.186,0.2637,0.0126,0.1761,0.3554,0.224,0.0163,0.2507,0.4788,11.6722,11.677,0.0,7.6824
yolov8l,43.7,baseline,9,NPU,L0,0.1251,0.2072,0.0069,0.0835,0.2278,0.1298,0.0071,0.1447,0.2752,59.251,59.2828,100.0,21.9444
yolov8l,43.7,baseline,10,GPU,L0,0.2138,0.3772,0.0461,0.2008,0.4286,0.3076,0.0603,0.3406,0.6274,11.2242,11.2426,0.0,5.2464
yolov8l,43.7,baseline,10,NPU,L0,0.111,0.2464,0.0155,0.0759,0.2269,0.1651,0.0307,0.1818,0.3442,58.6303,58.7739,100.0,15.5819
yolov8l,43.7,baseline,11,GPU,L0,0.2724,0.3763,0.0101,0.225,0.5661,0.2892,0.0124,0.2736,0.6952,11.6093,11.6216,0.0,10.4854
yolov8l,43.7,baseline,11,NPU,L0,0.2199,0.3013,0.0027,0.1215,0.3789,0.1548,0.006,0.1416,0.3767,59.2814,59.184,100.0,30.0786
yolov8l,43.7,baseline,12,GPU,L0,0.5291,0.6565,0.0813,0.5439,0.8953,0.5385,0.0807,0.5102,0.9247,11.5269,11.5474,0.0,5.4233
yolov8l,43.7,baseline,12,NPU,L0,0.4871,0.6243,0.0785,0.4519,0.8229,0.2912,0.0485,0.2687,0.5156,59.9538,60.6178,100.0,15.7069
yolov8l,43.7,baseline,13,GPU,L0,0.2728,0.4005,0.0287,0.1869,0.5196,0.3326,0.0325,0.2623,0.6541,11.1849,11.1923,0.0,10.0314
yolov8l,43.7,baseline,13,NPU,L0,0.1768,0.3312,0.0116,0.1301,0.3101,0.1843,0.0124,0.1551,0.348,59.3966,59.5363,100.0,29.9007
yolov8l,43.7,baseline,14,GPU,L0,0.5103,0.6324,0.1232,0.2057,0.576,0.5646,0.1273,0.2247,0.6403,10.9448,10.958,0.0,9.8876
yolov8l,43.7,baseline,14,NPU,L0,0.3369,0.5693,0.0731,0.1854,0.388,0.2994,0.047,0.1359,0.35,60.1649,59.9679,100.0,30.0572
yolov8l,43.7,baseline,15,GPU,L0,0.1356,0.2464,0.0289,0.1649,0.3861,0.2189,0.0423,0.2706,0.6682,11.2515,11.2684,0.0,10.032
yolov8l,43.7,baseline,15,NPU,L0,0.0489,0.1235,0.0076,0.0497,0.1391,0.1121,0.015,0.1339,0.368,58.7246,59.0784,100.0,29.6711
yolov8l,43.7,baseline,16,GPU,L0,0.2511,0.3804,0.0182,0.5423,0.4893,0.2896,0.022,0.6143,0.6092,11.4814,11.5076,0.0,5.4045
yolov8l,43.7,baseline,16,NPU,L0,0.2534,0.458,0.0118,0.5267,0.3916,0.2171,0.009,0.3584,0.4232,58.9956,59.2697,100.0,15.6542
yolov8l,43.7,baseline,17,GPU,L0,0.3116,0.4624,0.0331,0.3488,0.7162,0.348,0.0379,0.3861,0.7932,11.5162,11.5236,0.0,5.4812
yolov8l,43.7,baseline,17,NPU,L0,0.1945,0.3519,0.0179,0.2176,0.4589,0.1734,0.0159,0.1888,0.4016,61.1149,60.9961,100.0,15.866
yolov8l,43.7,baseline,18,GPU,L0,0.2247,0.2846,0.028,0.1241,0.7832,0.2572,0.033,0.222,0.8697,11.1184,11.1327,0.0,10.0452
yolov8l,43.7,baseline,18,NPU,L0,0.1753,0.2463,0.0097,0.0614,0.6103,0.1398,0.013,0.111,0.4944,59.4973,59.394,100.0,30.0665
yolov8l,43.7,baseline,19,GPU,L0,0.1492,0.2559,0.0229,0.1653,0.3896,0.2396,0.0384,0.3412,0.6572,11.3135,11.3297,0.0,5.287
yolov8l,43.7,baseline,19,NPU,L0,0.0695,0.155,0.0127,0.0555,0.1833,0.1027,0.0136,0.1279,0.3327,62.6689,62.9961,100.0,15.5665
yolov8l,43.7,baseline,20,GPU,L0,0.1309,0.2247,0.0151,0.1076,0.4037,0.2067,0.0174,0.2485,0.6693,11.299,11.3046,0.0,5.3094
yolov8l,43.7,baseline,20,NPU,L0,0.0726,0.1452,0.0152,0.0653,0.1686,0.1089,0.0113,0.1244,0.3389,58.8535,58.8665,100.0,15.6655
yolov8l,43.7,baseline,21,GPU,L0,0.1681,0.407,0.0265,0.0807,0.3208,0.3754,0.0282,0.3841,0.5984,11.3681,11.3892,0.0,5.3491
yolov8l,43.7,baseline,21,NPU,L0,0.0769,0.1884,0.0018,0.0291,0.1836,0.1637,0.003,0.1742,0.2513,58.4136,58.6975,100.0,15.679
yolov8l,43.7,baseline,22,GPU,L0,0.313,0.4874,0.0223,0.2905,0.7081,0.3219,0.0226,0.2927,0.7502,11.81,11.8259,0.0,5.625
yolov8l,43.7,baseline,22,NPU,L0,0.2127,0.4033,0.0112,0.2009,0.5664,0.1483,0.007,0.119,0.4119,59.2703,59.6889,100.0,15.8843
yolov8l,43.7,baseline,23,GPU,L0,0.2016,0.3952,0.069,0.2228,0.5116,0.3533,0.1077,0.497,0.7057,11.414,11.4271,0.0,5.4355
yolov8l,43.7,baseline,23,NPU,L0,0.072,0.1751,0.0285,0.0822,0.2049,0.17,0.0483,0.2367,0.374,61.7783,61.5065,100.0,15.8754
