table,tag,n_streams,bg_level,infer_mode,placement_name,placement_spec,mean_sap,worst_sap,mean_map,worst_map,wall_sec,s0_dev,s0_sid,s0_sap,s0_sap_s,s0_sap_m,s0_sap_l,s0_map,s0_skip,s1_dev,s1_sid,s1_sap,s1_sap_s,s1_sap_m,s1_sap_l,s1_map,s1_skip,s2_dev,s2_sid,s2_sap,s2_sap_s,s2_sap_m,s2_sap_l,s2_map,s2_skip,s3_dev,s3_sid,s3_sap,s3_sap_s,s3_sap_m,s3_sap_l,s3_map,s3_skip,s4_dev,s4_sid,s4_sap,s4_sap_s,s4_sap_m,s4_sap_l,s4_map,s4_skip,s5_dev,s5_sid,s5_sap,s5_sap_s,s5_sap_m,s5_sap_l,s5_map,s5_skip,s6_dev,s6_sid,s6_sap,s6_sap_s,s6_sap_m,s6_sap_l,s6_map,s6_skip,s7_dev,s7_sid,s7_sap,s7_sap_s,s7_sap_m,s7_sap_l,s7_map,s7_skip
natural,C_diverse_N4,4,L1_heavy,single,Oracle_k3_p0_1_3,"[""NPU"", ""NPU"", ""GPU"", ""NPU""]",0.1889,0.0583,0.2219,0.0722,15.3,NPU,15,0.1084,0.0092,0.1121,0.3866,0.1654,0.6,NPU,0,0.0583,0.0114,0.1031,0.4344,0.0722,0.7,GPU,5,0.3874,0.0151,0.1929,0.5226,0.4035,68.9,NPU,7,0.2013,0.0,0.1478,0.4071,0.2467,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
natural,C_diverse_N4,4,L1_heavy,single,Oracle_k3_p0_1_2,"[""NPU"", ""NPU"", ""NPU"", ""GPU""]",0.1931,0.0583,0.2413,0.0722,15.2,NPU,15,0.1084,0.0092,0.1121,0.3866,0.1654,0.5,NPU,0,0.0583,0.0114,0.1032,0.4344,0.0722,0.5,NPU,5,0.4381,0.0098,0.1728,0.6224,0.4626,0.0,GPU,7,0.1675,0.0005,0.141,0.2967,0.2648,57.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
natural,C_diverse_N4,4,L1_heavy,single,Oracle_k4_p0_1_2_3,"[""NPU"", ""NPU"", ""NPU"", ""NPU""]",0.2015,0.0583,0.2367,0.0722,15.5,NPU,15,0.1083,0.0092,0.1118,0.3862,0.1654,0.5,NPU,0,0.0583,0.0115,0.1034,0.4343,0.0722,0.3,NPU,5,0.4381,0.0098,0.1728,0.6224,0.4626,0.0,NPU,7,0.2013,0.0,0.1478,0.4071,0.2467,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
natural,C_diverse_N8,8,L1_light,single,Naive_allGPU,"[""GPU"", ""GPU"", ""GPU"", ""GPU"", ""GPU"", ""GPU"", ""GPU"", ""GPU""]",0.0998,0.0486,0.126,0.0679,26.1,GPU,15,0.0656,0.0094,0.0618,0.1824,0.1376,34.0,GPU,19,0.0607,0.0085,0.0521,0.1637,0.0924,92.1,GPU,23,0.062,0.0155,0.0684,0.1994,0.1441,88.8,GPU,0,0.0486,0.0145,0.1043,0.318,0.0679,35.1,GPU,1,0.0622,0.0026,0.0765,0.1636,0.095,34.5,GPU,20,0.0584,0.0088,0.0486,0.1359,0.0819,95.5,GPU,5,0.3304,0.0117,0.1663,0.4379,0.238,91.9,GPU,7,0.1105,0.0,0.0887,0.1918,0.1508,90.2
natural,C_diverse_N8,8,L1_light,single,SizeAware_NPU4,"[""NPU"", ""NPU"", ""NPU"", ""GPU"", ""GPU"", ""GPU"", ""GPU"", ""GPU""]",0.1209,0.0493,0.1459,0.0682,24.6,NPU,15,0.1083,0.0087,0.1121,0.3859,0.1654,0.6,NPU,19,0.1055,0.0082,0.0881,0.3774,0.1478,0.2,NPU,23,0.1434,0.0266,0.1459,0.4748,0.2307,0.7,GPU,0,0.0493,0.0149,0.1032,0.3274,0.0682,31.7,GPU,1,0.0633,0.0028,0.0786,0.1617,0.0946,30.9,GPU,20,0.0567,0.0081,0.0491,0.1388,0.0825,96.0,GPU,5,0.3284,0.0102,0.1642,0.4388,0.2255,98.4,GPU,7,0.1124,0.0,0.0939,0.1947,0.1522,97.1
natural,C_diverse_N8,8,L1_light,single,SizeAware_NPU6,"[""NPU"", ""NPU"", ""NPU"", ""NPU"", ""NPU"", ""NPU"", ""GPU"", ""GPU""]",0.1386,0.0581,0.1763,0.0722,17.9,NPU,15,0.108,0.0092,0.1116,0.3843,0.1654,0.7,NPU,19,0.1047,0.0082,0.0871,0.3688,0.1478,3.4,NPU,23,0.1427,0.0265,0.1459,0.4737,0.2307,1.6,NPU,0,0.0581,0.0115,0.1021,0.4334,0.0722,0.9,NPU,1,0.0634,0.0014,0.0651,0.2246,0.0889,0.3,NPU,20,0.1036,0.0075,0.069,0.3098,0.1515,3.0,GPU,5,0.3667,0.0146,0.193,0.4912,0.3229,71.9,GPU,7,0.1615,0.0005,0.1365,0.2827,0.2307,62.7
natural,C_diverse_N8,8,L1_light,single,SizeBlindRev_NPU4,"[""GPU"", ""GPU"", ""GPU"", ""GPU"", ""GPU"", ""GPU"", ""NPU"", ""NPU""]",0.1186,0.0464,0.1601,0.0664,25.9,GPU,15,0.0641,0.0085,0.0545,0.1929,0.1345,30.4,GPU,19,0.0489,0.0073,0.0377,0.1305,0.0801,90.3,GPU,23,0.051,0.009,0.0587,0.1714,0.1221,89.5,GPU,0,0.0464,0.012,0.1008,0.3072,0.0664,31.5,GPU,1,0.0612,0.0025,0.0778,0.1543,0.0922,30.6,GPU,20,0.0495,0.0079,0.046,0.118,0.0765,92.7,NPU,5,0.4324,0.0098,0.1701,0.6144,0.4626,7.3,NPU,7,0.1957,0.0,0.1424,0.3986,0.2467,7.5
natural,C_diverse_N8,8,L1_light,single,AllNPU,"[""NPU"", ""NPU"", ""NPU"", ""NPU"", ""NPU"", ""NPU"", ""NPU"", ""NPU""]",0.1528,0.0583,0.1957,0.0721,17.2,NPU,15,0.1076,0.0094,0.1116,0.3834,0.1654,0.7,NPU,19,0.1055,0.0082,0.0882,0.3777,0.1478,0.7,NPU,23,0.1437,0.0267,0.1467,0.4752,0.2307,0.7,NPU,0,0.0583,0.0115,0.1042,0.4341,0.0721,0.7,NPU,1,0.0634,0.0014,0.0651,0.2251,0.0889,0.2,NPU,20,0.1046,0.0076,0.0697,0.316,0.1515,0.9,NPU,5,0.4381,0.0098,0.1726,0.622,0.4626,0.2,NPU,7,0.2013,0.0,0.1473,0.4087,0.2467,0.7
natural,C_diverse_N8,8,L1_light,single,Oracle_k0_pnone,"[""GPU"", ""GPU"", ""GPU"", ""GPU"", ""GPU"", ""GPU"", ""GPU"", ""GPU""]",0.0964,0.0483,0.1187,0.067,25.9,GPU,15,0.0661,0.0095,0.0617,0.1886,0.1354,34.3,GPU,19,0.0601,0.0081,0.0473,0.1607,0.09,93.4,GPU,23,0.06,0.0154,0.0658,0.1961,0.1312,90.5,GPU,0,0.0483,0.0143,0.1027,0.3158,0.067,34.2,GPU,1,0.062,0.0024,0.076,0.1615,0.0939,32.6,GPU,20,0.0562,0.0081,0.0492,0.1279,0.08,92.3,GPU,5,0.3145,0.0094,0.1598,0.4167,0.2175,96.6,GPU,7,0.1039,0.0,0.085,0.1726,0.1351,92.0
natural,C_diverse_N8,8,L1_light,single,Oracle_k1_p6,"[""GPU"", ""GPU"", ""GPU"", ""GPU"", ""GPU"", ""GPU"", ""NPU"", ""GPU""]",0.1104,0.0476,0.1484,0.0667,26.0,GPU,15,0.0645,0.0083,0.0608,0.1856,0.1352,35.5,GPU,19,0.058,0.0088,0.0429,0.1537,0.0878,95.2,GPU,23,0.0542,0.013,0.063,0.1843,0.1274,87.9,GPU,0,0.0476,0.0149,0.1003,0.3132,0.0667,32.6,GPU,1,0.061,0.0024,0.0771,0.1561,0.0934,33.0,GPU,20,0.0509,0.0087,0.0453,0.12,0.0768,95.7,NPU,5,0.4403,0.0098,0.1725,0.6228,0.4626,1.9,GPU,7,0.1062,0.0,0.0876,0.1692,0.1369,94.2
natural,C_diverse_N8,8,L1_light,single,Oracle_k1_p4,"[""GPU"", ""GPU"", ""GPU"", ""GPU"", ""NPU"", ""GPU"", ""GPU"", ""GPU""]",0.0871,0.0458,0.1019,0.0625,24.3,GPU,15,0.0604,0.0076,0.0523,0.1718,0.1268,27.1,GPU,19,0.0498,0.0067,0.0352,0.1356,0.0728,96.0,GPU,23,0.0494,0.012,0.0588,0.1561,0.1107,99.4,GPU,0,0.0458,0.0144,0.1019,0.2947,0.0638,26.3,NPU,1,0.063,0.0015,0.0644,0.2244,0.0889,1.0,GPU,20,0.0463,0.0077,0.0404,0.1027,0.0625,99.3,GPU,5,0.2952,0.0089,0.1474,0.3844,0.1763,96.4,GPU,7,0.0868,0.0,0.0671,0.1525,0.1138,97.9
natural,C_diverse_N8,8,L1_light,single,Oracle_k2_p1_7,"[""GPU"", ""NPU"", ""GPU"", ""GPU"", ""GPU"", ""GPU"", ""GPU"", ""NPU""]",0.1097,0.0461,0.1353,0.0668,26.0,GPU,15,0.0674,0.0085,0.0591,0.2016,0.14,31.8,NPU,19,0.1042,0.0082,0.0867,0.3678,0.1478,4.1,GPU,23,0.0527,0.009,0.0632,0.1804,0.1279,84.9,GPU,0,0.0461,0.0143,0.095,0.3092,0.0668,30.6,GPU,1,0.0597,0.0026,0.0743,0.1532,0.0924,32.2,GPU,20,0.05,0.0081,0.0453,0.1166,0.0784,91.5,GPU,5,0.2997,0.0083,0.1599,0.3953,0.1822,91.9,NPU,7,0.1976,0.0,0.1467,0.3914,0.2467,4.3
natural,C_diverse_N8,8,L1_light,single,Oracle_k2_p3_7,"[""GPU"", ""GPU"", ""GPU"", ""NPU"", ""GPU"", ""GPU"", ""GPU"", ""NPU""]",0.101,0.0455,0.1191,0.0637,24.4,GPU,15,0.0631,0.0071,0.0542,0.1864,0.1305,26.8,GPU,19,0.0483,0.0068,0.0359,0.1346,0.0726,98.0,GPU,23,0.047,0.0094,0.0545,0.1521,0.1086,94.3,NPU,0,0.058,0.0115,0.1029,0.432,0.0722,2.4,GPU,1,0.0613,0.0023,0.0772,0.1533,0.0909,25.9,GPU,20,0.0455,0.008,0.0402,0.1032,0.0637,97.9,GPU,5,0.2853,0.0098,0.1547,0.3727,0.1679,98.5,NPU,7,0.1991,0.0,0.1458,0.4012,0.2467,5.0
natural,C_diverse_N8,8,L1_light,single,Oracle_k3_p0_3_7,"[""NPU"", ""GPU"", ""GPU"", ""NPU"", ""GPU"", ""GPU"", ""GPU"", ""NPU""]",0.1141,0.0504,0.135,0.0722,24.4,NPU,15,0.1078,0.0092,0.1105,0.3856,0.1654,2.0,GPU,19,0.0562,0.0088,0.0453,0.1512,0.0853,98.9,GPU,23,0.0504,0.0119,0.0573,0.1613,0.1188,96.7,NPU,0,0.0582,0.0113,0.1022,0.4331,0.0722,2.1,GPU,1,0.0627,0.0026,0.0779,0.1581,0.0939,31.0,GPU,20,0.0566,0.0077,0.0465,0.1345,0.0783,97.3,GPU,5,0.3195,0.0124,0.1566,0.4223,0.2193,99.4,NPU,7,0.2012,0.0,0.1473,0.407,0.2467,0.2
