# provenance: {"generated_at": "2026-07-29T18:41:17+09:00", "git_commit": "c37c5bd761fbbe8ea50202b2aca82eb9b17fca1b (pre-commit HEAD)", "alpha": 0.3, "beta": 1.0, "seed": 42, "input_data": ["/home/msyu/PycharmProjects/multimodel-scheduling-mobilint/xgboost_model/full_collection_540/cpu_gpu/performance_gpu_full540.json", "/home/msyu/PycharmProjects/multimodel-scheduling-mobilint/xgboost_model/full_collection_540/cpu_npu/performance_npu_full540.json"], "experiment": "P6 view-level oof"}
platform,combination,model,dev,eff_fps,ratio_raw,target,pred
gpu,combination_373,yolo11s,cpu,44.928,0.0243,0.0243,0.0192
gpu,combination_373,yolo11m,cpu,18.106,0.0260,0.0260,0.0260
gpu,combination_373,yolo11l,cpu,13.968,0.0265,0.0265,0.0241
gpu,combination_373,yolo11x,cpu,7.065,0.0311,0.0311,0.0404
gpu,combination_414,mobilenet_v2,cpu,814.332,0.0537,0.0537,0.0498
gpu,combination_414,resnet50,gpu,314.664,0.1938,0.1938,0.2027
gpu,combination_414,yolo11s,cpu,44.928,0.0581,0.0581,0.0616
gpu,combination_414,yolo11m,cpu,18.106,0.0735,0.0735,0.0729
gpu,combination_414,yolo11l,gpu,27.936,0.7925,0.7925,0.7937
gpu,combination_414,yolo11x,gpu,14.130,0.8443,0.8443,0.8546
gpu,combination_399,mobilenet_v2,cpu,814.332,0.0269,0.0269,0.0269
gpu,combination_399,resnet50,cpu,157.332,0.0178,0.0178,0.0230
gpu,combination_399,yolo11s,cpu,44.928,0.0283,0.0283,0.0302
gpu,combination_399,yolo11m,cpu,18.106,0.0326,0.0326,0.0353
gpu,combination_399,yolo11l,gpu,27.936,0.5631,0.5631,0.6221
gpu,combination_399,yolo11x,cpu,7.065,0.0382,0.0382,0.0423
gpu,combination_395,mobilenet_v2,gpu,1221.498,0.0441,0.0441,0.0479
gpu,combination_395,resnet50,gpu,235.998,0.2203,0.2203,0.2566
gpu,combination_395,yolo11s,cpu,44.928,0.0421,0.0421,0.0402
gpu,combination_395,yolo11m,gpu,27.159,0.7883,0.7883,0.8049
gpu,combination_395,yolo11l,cpu,13.968,0.0465,0.0465,0.0475
gpu,combination_395,yolo11x,cpu,7.065,0.0538,0.0538,0.0571
gpu,combination_412,mobilenet_v2,cpu,814.332,0.0344,0.0344,0.0331
gpu,combination_412,resnet50,cpu,157.332,0.0271,0.0271,0.0302
gpu,combination_412,yolo11s,cpu,44.928,0.0280,0.0280,0.0376
gpu,combination_412,yolo11m,gpu,36.212,0.6735,0.6735,0.5871
gpu,combination_412,yolo11l,cpu,13.968,0.0358,0.0358,0.0424
gpu,combination_412,yolo11x,cpu,7.065,0.0481,0.0481,0.0503
gpu,combination_381,mobilenet_v2,cpu,814.332,0.0259,0.0259,0.0271
gpu,combination_381,resnet50,cpu,157.332,0.0212,0.0212,0.0213
gpu,combination_381,yolo11s,gpu,67.392,0.2923,0.2923,0.3365
gpu,combination_381,yolo11m,cpu,18.106,0.0298,0.0298,0.0331
gpu,combination_381,yolo11l,cpu,13.968,0.0308,0.0308,0.0318
gpu,combination_381,yolo11x,cpu,7.065,0.0340,0.0340,0.0388
gpu,combination_406,mobilenet_v2,gpu,1285.347,0.0369,0.0369,0.0324
gpu,combination_406,resnet50,gpu,314.664,0.1387,0.1387,0.1601
gpu,combination_406,yolo11s,cpu,44.928,0.0327,0.0327,0.0363
gpu,combination_406,yolo11m,cpu,18.106,0.0392,0.0392,0.0429
gpu,combination_406,yolo11l,cpu,13.968,0.0387,0.0387,0.0422
