# provenance: {"generated_at": "2026-07-29T18:33:47+09:00", "git_commit": "154f11480b290e3425256b0b0b20b74f093fdacc (pre-commit HEAD)", "alpha": 0.3, "beta": 1.0, "seed": 42, "input_data": ["/home/msyu/PycharmProjects/multimodel-scheduling-mobilint/xgboost_model/full_collection_540/cpu_gpu/performance_gpu_full540.json", "/home/msyu/PycharmProjects/multimodel-scheduling-mobilint/xgboost_model/full_collection_540/cpu_npu/performance_npu_full540.json"], "experiment": "P5 capacity greedy", "static_profile": "/home/msyu/PycharmProjects/multimodel-scheduling-mobilint/xgboost_model/performance_data/sample_profiling_data/sample_profiling_data.json"}
platform,set,rate,variant,greedy_accel,collected,matched_combo,top1,s_norm,oracle_norm,ratio_norm,s_raw,oracle_raw,ratio_raw,cum_load
gpu,base2,3.0,load_factor,"llama1b,qwen2_vl,resnet50",1,combination_47,0,1.0612,2.0000,0.5306,220.872,373.561,0.5913,0.876
gpu,base4,3.0,speedup,"llama1b,qwen2_vl,yolo11l",1,combination_94,0,1.1782,2.0000,0.5891,176.858,299.754,0.5900,0.399
gpu,base4,3.0,load_factor,"llama1b,qwen2_vl,resnet50",1,combination_95,0,1.1497,2.0000,0.5748,199.372,299.754,0.6651,0.876
gpu,base3,2.0,speedup,"llama1b,qwen2_vl,resnet50,yolo11m",1,combination_64,1,2.0000,2.0000,1.0000,322.003,322.003,1.0000,0.786
gpu,base3,2.0,load_factor,"llama1b,qwen2_vl,resnet50,yolo11m",1,combination_64,1,2.0000,2.0000,1.0000,322.003,322.003,1.0000,0.786
gpu,base4,1.0,speedup,"llama1b,qwen2_vl,resnet50,yolo11l",1,combination_80,1,1.9650,1.9650,1.0000,287.733,287.733,1.0000,0.402
gpu,base4,1.0,load_factor,"llama1b,qwen2_vl,resnet50,yolo11l",1,combination_80,1,1.9650,1.9650,1.0000,287.733,287.733,1.0000,0.402
gpu,base1,1.0,speedup,"llama1b,qwen2_vl,resnet50,yolo11n",1,combination_8,1,1.9820,1.9820,1.0000,339.979,339.979,1.0000,0.502
gpu,base1,1.0,load_factor,"llama1b,qwen2_vl,resnet50,yolo11n",1,combination_8,1,1.9820,1.9820,1.0000,339.979,339.979,1.0000,0.502
gpu,base2,1.0,speedup,"llama1b,qwen2_vl,resnet50,yolo11s",1,combination_32,1,1.9752,1.9752,1.0000,310.241,310.241,1.0000,0.469
gpu,base2,1.0,load_factor,"llama1b,qwen2_vl,resnet50,yolo11s",1,combination_32,1,1.9752,1.9752,1.0000,310.241,310.241,1.0000,0.469
gpu,base3,1.0,speedup,"llama1b,qwen2_vl,resnet50,yolo11m",1,combination_56,1,1.9633,1.9633,1.0000,292.764,292.764,1.0000,0.393
gpu,base3,1.0,load_factor,"llama1b,qwen2_vl,resnet50,yolo11m",1,combination_56,1,1.9633,1.9633,1.0000,292.764,292.764,1.0000,0.393
gpu,base1,3.0,speedup,"llama1b,qwen2_vl,yolo11n",1,combination_22,0,0.9598,2.0000,0.4799,200.883,382.741,0.5249,0.698
gpu,base1,3.0,load_factor,"llama1b,qwen2_vl,resnet50",1,combination_23,0,1.2057,2.0000,0.6028,249.547,382.741,0.6520,0.876
gpu,base2,2.0,speedup,"llama1b,qwen2_vl,resnet50,yolo11s",1,combination_40,1,2.0000,2.0000,1.0000,363.952,363.952,1.0000,0.937
gpu,base2,2.0,load_factor,"llama1b,qwen2_vl,resnet50,yolo11s",1,combination_40,1,2.0000,2.0000,1.0000,363.952,363.952,1.0000,0.937
gpu,S7,1.5,speedup,"llama1b,qwen2_vl,yolo11l,yolo11m,yolo11s",0,,,,,,,,,0.615
gpu,S7,1.5,load_factor,"llama1b,mobilenet_v2,qwen2_vl",0,,,,,,,,,0.985
gpu,S7,2.0,speedup,"llama1b,qwen2_vl,yolo11l,yolo11m,yolo11s",0,,,,,,,,,0.821
gpu,S7,2.0,load_factor,"llama1b,qwen2_vl,resnet50,yolo11s",1,combination_338,0,0.8747,1.8285,0.4784,180.398,403.689,0.4469,0.937
gpu,S7,1.0,speedup,"llama1b,qwen2_vl,resnet50,yolo11l,yolo11m,yolo11s",1,combination_300,0,1.6505,2.0000,0.8253,337.465,411.936,0.8192,0.679
gpu,S7,1.0,load_factor,"llama1b,mobilenet_v2,qwen2_vl,resnet50",0,,,,,,,,,0.926
gpu,S9,3.0,speedup,"yolo11m,yolo11s",0,,,,,,,,,0.832
