# provenance: {"generated_at": "2026-07-30T19:35+09:00 (KST)", "score_basis": "raw measured window totals", "alpha": 0.3, "betas": [1.0, 0.5], "group": "(set, rate)", "tie_rule": "1e-9 tie set; intersecting tie sets = agreement", "generator": "scripts/compare_platforms_v2.py --basis raw", "original_generation": "2026-07-29T18:32:09+09:00, commit 475a2089eb49a1906d663508055d3aeb5d5e2d43", "superseded_by": "platform_divergence.csv (declared_normalized, Eq. 1)"}
beta,set,rate,gpu_best_accel,npu_best_accel,same,gpu_best_score,npu_best_score,gpu_best_combo,npu_best_combo
0.5,S4,2.0,"qwen2_vl,resnet50,yolo11s","qwen2_vl,resnet50,yolo11s",1,260.975,167.563,combination_188,combination_188
0.5,S4,3.0,"qwen2_vl,resnet50,yolo11s","qwen2_vl,resnet50,yolo11s",1,277.054,149.825,combination_192,combination_192
0.5,base1,1.0,"llama1b,qwen2_vl,resnet50,yolo11n","qwen2_vl,resnet50,yolo11n",0,256.079,142.036,combination_8,combination_4
0.5,base1,2.0,"llama1b,qwen2_vl,resnet50,yolo11n","qwen2_vl,resnet50,yolo11n",0,323.552,145.839,combination_16,combination_12
0.5,base1,3.0,"llama1b,qwen2_vl,resnet50,yolo11n","qwen2_vl,resnet50,yolo11n",0,315.036,128.195,combination_24,combination_20
0.5,base2,1.0,"llama1b,qwen2_vl,resnet50,yolo11s","qwen2_vl,resnet50,yolo11s",0,224.186,124.070,combination_32,combination_28
0.5,base2,2.0,"llama1b,qwen2_vl,resnet50,yolo11s","qwen2_vl,resnet50,yolo11s",0,299.782,143.532,combination_40,combination_36
0.5,base2,3.0,"llama1b,qwen2_vl,resnet50,yolo11s","qwen2_vl,resnet50,yolo11s",0,310.586,127.985,combination_48,combination_44
0.5,base3,1.0,"llama1b,qwen2_vl,resnet50,yolo11m","llama1b,qwen2_vl,yolo11m",0,203.054,110.716,combination_56,combination_54
0.5,base3,2.0,"llama1b,qwen2_vl,resnet50,yolo11m","qwen2_vl,resnet50,yolo11m",0,258.203,126.247,combination_64,combination_60
0.5,base3,3.0,"llama1b,qwen2_vl,resnet50,yolo11m","qwen2_vl,resnet50,yolo11m",0,262.704,120.703,combination_72,combination_68
0.5,base4,1.0,"llama1b,qwen2_vl,resnet50,yolo11l","llama1b,qwen2_vl,yolo11l",0,198.543,108.070,combination_80,combination_78
0.5,base4,2.0,"llama1b,qwen2_vl,resnet50,yolo11l","qwen2_vl,resnet50,yolo11l",0,250.334,124.539,combination_88,combination_84
0.5,base4,3.0,"llama1b,qwen2_vl,resnet50,yolo11l","qwen2_vl,resnet50,yolo11l",0,249.609,116.563,combination_96,combination_92
0.5,base5,1.0,"llama1b,qwen2_vl,resnet50,yolo11x","llama1b,qwen2_vl,yolo11x",0,192.612,102.207,combination_104,combination_102
0.5,base5,2.0,"llama1b,qwen2_vl,resnet50,yolo11x","qwen2_vl,resnet50,yolo11x",0,244.107,110.037,combination_112,combination_108
0.5,base5,3.0,"llama1b,qwen2_vl,resnet50,yolo11x","qwen2_vl,resnet50,yolo11x",0,239.263,100.502,combination_120,combination_116
0.5,S5,1.0,"llama1b,mobilenet_v2,qwen2_vl,resnet50,yolo11s","mobilenet_v2,qwen2_vl,resnet50,yolo11s",0,368.399,221.621,combination_208,combination_200
0.5,S5,2.0,"llama1b,mobilenet_v2,qwen2_vl,resnet50,yolo11s","mobilenet_v2,qwen2_vl,resnet50,yolo11s",0,401.021,204.838,combination_224,combination_216
