# provenance: {"generated_at": "2026-07-29T18:30:03+09:00", "git_commit": "a8728e67ddf0c96db6e5cd5d57684cedc57136fb (pre-commit HEAD)", "alpha": 0.3, "beta": 1.0, "seed": 42, "input_data": ["/home/msyu/PycharmProjects/multimodel-scheduling-mobilint/xgboost_model/full_collection_540/cpu_gpu/performance_gpu_full540.json", "/home/msyu/PycharmProjects/multimodel-scheduling-mobilint/xgboost_model/full_collection_540/cpu_npu/performance_npu_full540.json"], "experiment": "P1 groupkfold oof", "platform": "npu"}
combination,models,workload,rate_factor,y3_valid,has_gen,fold,y1_meas,y2_meas,y3_meas,y1_pred,y2_pred,y3_pred,group
combination_414,"llama1b,mobilenet_v2,qwen2_vl,resnet50,yolo11l,yolo11m,yolo11s,yolo11x",yolo11s,2.0,True,True,2,0.6289423724661645,0.37674418604651233,0.8657289002557544,0.5715793371200562,0.40496379137039185,0.8077391982078552,"('llama1b,mobilenet_v2,qwen2_vl,resnet50,yolo11l,yolo11m,yolo11s,yolo11x', 2.0)"
combination_399,"llama1b,mobilenet_v2,qwen2_vl,resnet50,yolo11l,yolo11m,yolo11s,yolo11x",yolo11s,2.0,True,True,2,0.2287953946965521,1.0,0.4539641943734015,0.19505339860916138,0.9840183258056641,0.43317824602127075,"('llama1b,mobilenet_v2,qwen2_vl,resnet50,yolo11l,yolo11m,yolo11s,yolo11x', 2.0)"
combination_395,"llama1b,mobilenet_v2,qwen2_vl,resnet50,yolo11l,yolo11m,yolo11s,yolo11x",yolo11s,1.5,True,True,0,0.5765375084478487,0.9907834101382489,0.45299647473560517,0.5891097187995911,0.9524465203285217,0.4768776595592499,"('llama1b,mobilenet_v2,qwen2_vl,resnet50,yolo11l,yolo11m,yolo11s,yolo11x', 1.5)"
combination_412,"llama1b,mobilenet_v2,qwen2_vl,resnet50,yolo11l,yolo11m,yolo11s,yolo11x",yolo11s,2.0,True,True,2,0.2651111519382693,0.6744186046511627,0.7896419437340153,0.23357585072517395,0.7616844177246094,0.7510868906974792,"('llama1b,mobilenet_v2,qwen2_vl,resnet50,yolo11l,yolo11m,yolo11s,yolo11x', 2.0)"
combination_381,"llama1b,mobilenet_v2,qwen2_vl,resnet50,yolo11l,yolo11m,yolo11s,yolo11x",yolo11s,1.5,True,True,0,0.21451903581887813,1.0,0.4200940070505288,0.22079242765903473,1.0,0.435627818107605,"('llama1b,mobilenet_v2,qwen2_vl,resnet50,yolo11l,yolo11m,yolo11s,yolo11x', 1.5)"
combination_406,"llama1b,mobilenet_v2,qwen2_vl,resnet50,yolo11l,yolo11m,yolo11s,yolo11x",yolo11s,2.0,True,True,2,0.4540388266274725,0.9990697674418606,0.469309462915601,0.41404592990875244,0.9875795245170593,0.44193243980407715,"('llama1b,mobilenet_v2,qwen2_vl,resnet50,yolo11l,yolo11m,yolo11s,yolo11x', 2.0)"
combination_386,"llama1b,mobilenet_v2,qwen2_vl,resnet50,yolo11l,yolo11m,yolo11s,yolo11x",yolo11s,1.5,True,True,0,0.9316287452128859,0.42396313364055294,1.0,0.8868455290794373,0.3522513806819916,0.9827803373336792,"('llama1b,mobilenet_v2,qwen2_vl,resnet50,yolo11l,yolo11m,yolo11s,yolo11x', 1.5)"
combination_415,"llama1b,mobilenet_v2,qwen2_vl,resnet50,yolo11l,yolo11m,yolo11s,yolo11x",yolo11s,2.0,True,True,2,1.0,0.3869767441860471,0.5095907928388747,0.902710497379303,0.3809804916381836,0.46466225385665894,"('llama1b,mobilenet_v2,qwen2_vl,resnet50,yolo11l,yolo11m,yolo11s,yolo11x', 2.0)"
combination_404,"llama1b,mobilenet_v2,qwen2_vl,resnet50,yolo11l,yolo11m,yolo11s,yolo11x",yolo11s,2.0,True,True,2,0.845367138220344,0.17767441860465116,0.9840153452685422,0.7953618168830872,0.17722298204898834,0.930673360824585,"('llama1b,mobilenet_v2,qwen2_vl,resnet50,yolo11l,yolo11m,yolo11s,yolo11x', 2.0)"
combination_350,"llama1b,mobilenet_v2,qwen2_vl,resnet50,yolo11l,yolo11m,yolo11s,yolo11x",yolo11s,1.0,True,True,0,1.0,0.0,0.9323059988992846,0.9210324287414551,0.006206211633980274,0.9172393679618835,"('llama1b,mobilenet_v2,qwen2_vl,resnet50,yolo11l,yolo11m,yolo11s,yolo11x', 1.0)"
