directory,filename,best_deployment,best_throughput,best_drop_rate,better_combination,better_throughput,better_drop_rate,diff
results,performance_20260127_064106_model_schedules_g_m_resnet50_resnext50_s_t.json,combination_2,22.91,386.0,combination_46,25.7,601.0,2.789999999999999
results,performance_20260127_020757_model_schedules_g_m_resnet50_resnext50_shufflenet-v2-12_squeezenet1.0-12_t_v_y.json,combination_394,21.77,281.0,combination_431,24.54,471.0,2.7699999999999996
results,performance_20260127_050340_model_schedules_g_m_resnet50_resnext50_shufflenet-v2-12_squeezenet1.0-12_t_x4.json,combination_13,25.93,266.0,combination_126,28.7,577.0,2.7699999999999996
results,performance_20260127_070902_model_schedules_g_m_resnet50_resnext50_t_x4.json,combination_12,24.59,633.0,combination_32,27.36,880.0,2.7699999999999996
results,performance_20260126_171630_model_schedules_g_m_resnet50_resnext50_shufflenet-v2-12_squeezenet1.0-12_t_v_x3.json,combination_67,25.69,165.0,combination_100,28.4,219.0,2.7099999999999973
results,performance_20260127_104457_model_schedules_m_resnet50_resnext50_shufflenet-v2-12_squeezenet1.0-12_v_y.json,combination_86,21.67,343.0,combination_96,24.37,546.0,2.6999999999999993
results,performance_20260127_112810_model_schedules_m_r_t_y_x4.json,combination_11,18.03,825.0,combination_9,20.73,907.0,2.6999999999999993
results,performance_20260126_171630_model_schedules_g_m_resnet50_resnext50_shufflenet-v2-12_squeezenet1.0-12_t_v_x3.json,combination_67,25.69,165.0,combination_208,28.37,391.0,2.6799999999999997
results,performance_20260127_020757_model_schedules_g_m_resnet50_resnext50_shufflenet-v2-12_squeezenet1.0-12_t_v_y.json,combination_394,21.77,281.0,combination_67,24.42,460.0,2.650000000000002
results,performance_20260127_064106_model_schedules_g_m_resnet50_resnext50_s_t.json,combination_2,22.91,386.0,combination_56,25.54,551.0,2.629999999999999
results,performance_20260126_161938_model_schedules_g_m_resnet50_resnext50_shufflenet-v2-12_squeezenet1.0-12_t_v_x2.json,combination_128,29.71,179.0,combination_256,32.3,254.0,2.5899999999999963
