timestamp,combination,source_file,views.sum.view.throughput_fps,views.sum.view.avg_inference_time_ms,views.sum.view.inference_count,views.sum.view.avg_wait_to_preprocess_ms,views.sum.view.dropped_frames_due_to_full_queue,views.sum.view.exec_cpu,views.sum.view.exec_npu0,views.sum.view.exec_npu1,views.sum.view.static_infer_sel,views.sum.view.static_load_sel,views.sum.x.view_throughput__static_infer_sel,views.sum.x.view_wait__static_load_sel,views.mean.view.throughput_fps,views.mean.view.avg_inference_time_ms,views.mean.view.inference_count,views.mean.view.avg_wait_to_preprocess_ms,views.mean.view.dropped_frames_due_to_full_queue,views.mean.view.exec_cpu,views.mean.view.exec_npu0,views.mean.view.exec_npu1,views.mean.view.static_infer_sel,views.mean.view.static_load_sel,views.mean.x.view_throughput__static_infer_sel,views.mean.x.view_wait__static_load_sel,views.max.view.throughput_fps,views.max.view.avg_inference_time_ms,views.max.view.inference_count,views.max.view.avg_wait_to_preprocess_ms,views.max.view.dropped_frames_due_to_full_queue,views.max.view.exec_cpu,views.max.view.exec_npu0,views.max.view.exec_npu1,views.max.view.static_infer_sel,views.max.view.static_load_sel,views.max.x.view_throughput__static_infer_sel,views.max.x.view_wait__static_load_sel,views.count.views,y1_total_throughput_fps,y2_drop_rate_fps
2025-09-13 11:26:25,combination_7,xgboost_model/performance_data/performance/performance_20250913_112249.json,37.14,114.03,337.0,883.92,515.0,0.0,1.0,1.0,114.4,177.60000000000002,2092.872,89629.488,18.57,57.015,168.5,441.96,257.5,0.0,0.5,0.5,57.2,88.80000000000001,1046.436,44814.744,22.95,70.45,176.0,883.92,515.0,0.0,1.0,1.0,60.8,101.4,1230.12,89629.488,2.0,37.14,17.1667
2025-09-13 11:27:00,combination_1,xgboost_model/performance_data/performance/performance_20250913_112630.json,11.88,705.8299999999999,285.0,5693.77,778.0,2.0,0.0,0.0,227.20000000000002,0.0,478.388,0.0,5.94,352.91499999999996,142.5,2846.885,389.0,1.0,0.0,0.0,113.60000000000001,0.0,239.194,0.0,10.24,608.14,238.0,5693.77,778.0,1.0,0.0,0.0,214.9,0.0,352.436,0.0,2.0,11.88,25.9333
2025-09-13 11:27:31,combination_2,xgboost_model/performance_data/performance/performance_20250913_112630.json,28.08,143.51,374.0,1014.55,527.0,1.0,1.0,0.0,73.1,101.4,968.6089999999999,102875.37,14.04,71.755,187.0,507.275,263.5,0.5,0.5,0.0,36.55,50.7,484.30449999999996,51437.685,15.23,77.84,234.0,1014.55,527.0,1.0,1.0,0.0,60.8,101.4,781.28,102875.37,2.0,28.07,17.5667
2025-09-13 11:28:02,combination_3,xgboost_model/performance_data/performance/performance_20250913_112630.json,28.96,143.8,360.0,1118.93,553.0,1.0,0.0,1.0,84.3,427.4,1048.7279999999998,478230.68200000003,14.48,71.9,180.0,559.465,276.5,0.5,0.0,0.5,42.15,213.7,524.3639999999999,239115.34100000001,17.36,86.19,233.0,1118.93,553.0,1.0,0.0,1.0,72.0,427.4,835.1999999999999,478230.68200000003,2.0,28.96,18.4333
2025-09-13 11:28:33,combination_4,xgboost_model/performance_data/performance/performance_20250913_112630.json,26.36,277.76,353.0,2354.08,699.0,1.0,1.0,0.0,253.60000000000002,15.0,1777.792,0.0,13.18,138.88,176.5,1177.04,349.5,0.5,0.5,0.0,126.80000000000001,7.5,888.896,0.0,22.06,232.43,234.0,2354.08,699.0,1.0,1.0,0.0,214.9,15.0,924.0699999999999,0.0,2.0,26.36,23.3
2025-09-13 11:29:04,combination_5,xgboost_model/performance_data/performance/performance_20250913_112630.json,36.34,119.78999999999999,382.0,963.84,550.0,0.0,1.0,1.0,110.7,442.4,1838.9250000000002,411945.216,18.17,59.894999999999996,191.0,481.92,275.0,0.0,0.5,0.5,55.35,221.2,919.4625000000001,205972.608,23.35,76.96,234.0,963.84,550.0,0.0,1.0,1.0,72.0,427.4,935.28,411945.216,2.0,36.34,18.3333
2025-09-13 11:29:35,combination_6,xgboost_model/performance_data/performance/performance_20250913_112630.json,25.89,287.26,348.0,2436.71,699.0,1.0,0.0,1.0,268.5,76.2,2055.486,0.0,12.945,143.63,174.0,1218.355,349.5,0.5,0.0,0.5,134.25,38.1,1027.743,0.0,21.75,241.28,233.0,2436.71,699.0,1.0,0.0,1.0,214.9,76.2,1165.8,0.0,2.0,25.89,23.3
2025-09-13 11:30:06,combination_7,xgboost_model/performance_data/performance/performance_20250913_112630.json,37.28,113.32,394.0,881.3,521.0,0.0,1.0,1.0,114.4,177.60000000000002,2101.528,89363.82,18.64,56.66,197.0,440.65,260.5,0.0,0.5,0.5,57.2,88.80000000000001,1050.764,44681.91,22.93,69.71,233.0,881.3,521.0,0.0,1.0,1.0,60.8,101.4,1229.048,89363.82,2.0,37.28,17.3667
2025-09-13 11:30:41,combination_1,xgboost_model/performance_data/performance/performance_20250913_113011.json,12.43,707.81,340.0,5716.95,778.0,2.0,0.0,0.0,227.20000000000002,0.0,483.12699999999995,0.0,6.215,353.905,170.0,2858.475,389.0,1.0,0.0,0.0,113.60000000000001,0.0,241.56349999999998,0.0,10.8,615.18,294.0,5716.95,778.0,1.0,0.0,0.0,214.9,0.0,350.287,0.0,2.0,12.42,25.9333
2025-09-13 11:31:12,combination_2,xgboost_model/performance_data/performance/performance_20250913_113011.json,26.75,150.49,422.0,1080.13,542.0,1.0,1.0,0.0,73.1,101.4,926.06,109525.18200000002,13.375,75.245,211.0,540.065,271.0,0.5,0.5,0.0,36.55,50.7,463.03,54762.59100000001,14.44,81.23,290.0,1080.13,542.0,1.0,1.0,0.0,60.8,101.4,748.448,109525.18200000002,2.0,26.75,18.0667
2025-09-13 11:31:43,combination_3,xgboost_model/performance_data/performance/performance_20250913_113011.json,25.23,160.44,409.0,1197.27,568.0,1.0,0.0,1.0,84.3,427.4,981.954,511713.198,12.615,80.22,204.5,598.635,284.0,0.5,0.0,0.5,42.15,213.7,490.977,255856.599,13.98,88.9,290.0,1197.27,568.0,1.0,0.0,1.0,72.0,427.4,810.0,511713.198,2.0,25.23,18.9333
2025-09-13 11:32:14,combination_4,xgboost_model/performance_data/performance/performance_20250913_113011.json,25.84,289.09000000000003,401.0,2456.63,699.0,1.0,1.0,0.0,253.60000000000002,15.0,1724.19,0.0,12.92,144.54500000000002,200.5,1228.315,349.5,0.5,0.5,0.0,126.80000000000001,7.5,862.095,0.0,21.73,243.08,287.0,2456.63,699.0,1.0,1.0,0.0,214.9,15.0,883.2390000000001,0.0,2.0,25.85,23.3
2025-09-13 11:32:45,combination_5,xgboost_model/performance_data/performance/performance_20250913_113011.json,36.28,120.14,437.0,969.48,552.0,0.0,1.0,1.0,110.7,442.4,1834.938,414355.752,18.14,60.07,218.5,484.74,276.0,0.0,0.5,0.5,55.35,221.2,917.469,207177.876,23.34,77.3,290.0,969.48,552.0,0.0,1.0,1.0,72.0,427.4,931.68,414355.752,2.0,36.28,18.4
2025-09-13 11:33:16,combination_6,xgboost_model/performance_data/performance/performance_20250913_113011.json,25.65,294.7,397.0,2507.55,706.0,1.0,0.0,1.0,268.5,76.2,2023.2659999999998,0.0,12.825,147.35,198.5,1253.775,353.0,0.5,0.0,0.5,134.25,38.1,1011.6329999999999,0.0,21.63,248.47,286.0,2507.55,706.0,1.0,0.0,1.0,214.9,76.2,1159.368,0.0,2.0,25.65,23.5333
2025-09-13 11:33:47,combination_7,xgboost_model/performance_data/performance/performance_20250913_113011.json,36.91,114.85,448.0,897.2,522.0,0.0,1.0,1.0,114.4,177.60000000000002,2079.752,90976.08000000002,18.455,57.425,224.0,448.6,261.0,0.0,0.5,0.5,57.2,88.80000000000001,1039.876,45488.04000000001,22.83,71.05,289.0,897.2,522.0,0.0,1.0,1.0,60.8,101.4,1223.6879999999999,90976.08000000002,2.0,36.91,17.4
2025-09-13 11:34:23,combination_1,xgboost_model/performance_data/performance/performance_20250913_113352.json,6.8999999999999995,2509.3999999999996,198.0,19558.67,1495.0,3.0,0.0,0.0,423.6,0.0,419.64300000000003,0.0,2.3,836.4666666666666,66.0,6519.556666666666,498.3333333333333,1.0,0.0,0.0,141.20000000000002,0.0,139.881,0.0,5.17,1181.09,149.0,9833.71,761.0,1.0,0.0,0.0,214.9,0.0,189.112,0.0,3.0,6.9,49.8333
2025-09-13 11:34:53,combination_10,xgboost_model/performance_data/performance/performance_20250913_113352.json,34.43,535.06,465.0,5117.8099999999995,1247.0,1.0,1.0,1.0,307.1,442.4,2082.228,564112.438,11.476666666666667,178.35333333333332,155.0,1705.9366666666665,415.6666666666667,0.3333333333333333,0.3333333333333333,0.3333333333333333,102.36666666666667,147.46666666666667,694.076,188037.47933333332,21.44,392.59,286.0,3797.94,656.0,1.0,1.0,1.0,196.4,427.4,829.7280000000001,564112.438,3.0,34.42,41.5667
2025-09-13 11:35:24,combination_11,xgboost_model/performance_data/performance/performance_20250913_113352.json,23.77,1197.4499999999998,380.0,10781.720000000001,1435.0,2.0,0.0,1.0,464.9,76.2,1803.576,0.0,7.923333333333333,399.1499999999999,126.66666666666667,3593.906666666667,478.3333333333333,0.6666666666666666,0.0,0.3333333333333333,154.96666666666667,25.400000000000002,601.192,0.0,20.29,581.39,283.0,5427.84,744.0,1.0,0.0,1.0,214.9,76.2,1087.544,0.0,3.0,23.77,47.8333
2025-09-13 11:35:55,combination_12,xgboost_model/performance_data/performance/performance_20250913_113352.json,32.68,529.34,457.0,5063.09,1142.0,1.0,1.0,1.0,356.4,181.4,2490.9539999999997,154436.756,10.893333333333333,176.4466666666667,152.33333333333334,1687.6966666666667,380.6666666666667,0.3333333333333333,0.3333333333333333,0.3333333333333333,118.8,60.46666666666667,830.3179999999999,51478.918666666665,21.16,368.55,285.0,3595.06,730.0,1.0,1.0,1.0,214.9,105.2,1134.176,154436.756,3.0,32.68,38.0667
