size,fp32_score,int8_score
small,0.5609413981,0.4451949298
small,0.5705580115,0.6083088517
small,0.6291377544,0.5548050404
small,0.6149927974,0.4451949298
small,0.5889918804,0.5
small,0.5684794784,0.5
small,0.557723701,0.5548050404
small,0.6397784948,0.5548050404
small,0.596518755,0.5
small,0.5507378578,0.5
small,0.5055956841,0.4451949298
small,0.5605942607,0.5548050404
small,0.4888257682,0.3916911483
small,0.5585558414,0.4451949298
small,0.5903920531,0.4451949298
small,0.5689795613,0.4451949298
small,0.5143352747,0.2930911481
small,0.5133680701,0.3916911483
small,0.5188892484,0.3454769254
small,0.5139901042,0.5
small,0.5656729341,0.5
small,0.5799894333,0.5
small,0.501488924,0.4451949298
small,0.5849140286,0.5
small,0.609154582,0.5
small,0.5664420724,0.5
small,0.4976604283,0.4207999408
small,0.5218492746,0.3454769254
small,0.6106389761,0.5
small,0.5249961615,0.2555325031
small,0.6229388714,0.2555325031
small,0.4125278294,0.3398346603
small,0.5518657565,0.3398346603
small,0.3847671747,0.3398346603
small,0.6346181035,0.3398346603
small,0.4968524277,0.2920652032
small,0.5201447606,0.3911007941
small,0.4773942828,0.2920652032
small,0.6480068564,0.3911007941
small,0.6742001176,0.3911007941
small,0.5666614771,0.2920652032
small,0.4693233669,0.309600085
small,0.3337417543,0.309600085
small,0.4914699793,0.3398346603
small,0.5066223741,0.2920652032
small,0.7219446301,0.6601653695
small,0.4143847823,0.3398346603
small,0.7785281539,0.6601653695
small,0.8172599077,0.6088991761
small,0.7276223302,0.6601653695
small,0.5967358947,0.4448888898
small,0.7099679708,0.4448888898
small,0.6648976207,0.4448888898
small,0.3781300485,0.3398346603
small,0.6810557842,0.5551111102
small,0.5880824327,0.4448888898
small,0.6866436601,0.5
small,0.5366133451,0.3911007941
small,0.7915848494,0.6903998852
small,0.5076197386,0.2920652032
small,0.7691972256,0.6903998852
small,0.6843252182,0.6903998852
small,0.3099489808,0.2555325031
small,0.6169279218,0.6903998852
small,0.4589115083,0.2920652032
small,0.6770550609,0.5
small,0.5207076669,0.4448888898
small,0.5679770708,0.4448888898
small,0.4488315582,0.3398346603
small,0.3096243441,0.2930911481
small,0.2807898819,0.2930911481
small,0.3182568848,0.2930911481
small,0.3647320569,0.3406691849
small,0.3198261261,0.2930911481
small,0.2954639196,0.2930911481
small,0.2780005932,0.2930911481
small,0.2866522372,0.2930911481
small,0.2769801617,0.2930911481
small,0.3500515819,0.2930911481
small,0.366825372,0.2930911481
small,0.3576417863,0.2930911481
small,0.3665527403,0.2930911481
small,0.3486720026,0.2930911481
small,0.3915029168,0.2930911481
small,0.288705945,0.2771843374
small,0.2566432655,0.3454769254
small,0.3221818507,0.3454769254
small,0.3082195222,0.2771843374
small,0.3916215003,0.4207999408
small,0.4374707341,0.4207999408
small,0.3511572182,0.3916911483
small,0.2796349823,0.3916911483
small,0.4610404968,0.3916911483
small,0.3846617341,0.2930911481
small,0.4565874934,0.3916911483
small,0.4322323501,0.3406691849
small,0.4383403957,0.3916911483
small,0.3240273297,0.2930911481
small,0.4534866214,0.4451949298
small,0.4281365275,0.4207999408
small,0.3926854432,0.3916911483
small,0.2926077247,0.2930911481
small,0.4128195047,0.3454769254
small,0.4731658101,0.4207999408
small,0.5174282789,0.4207999408
small,0.5026116371,0.5
small,0.5161274672,0.4207999408
small,0.4976616204,0.4207999408
small,0.4905559123,0.4207999408
small,0.469419539,0.4207999408
small,0.4889199138,0.4207999408
small,0.5132262707,0.5
small,0.3324295282,0.2930911481
small,0.3705434203,0.2920652032
small,0.4922903478,0.5
small,0.3117423058,0.2930911481
small,0.4294543862,0.2920652032
small,0.4704963863,0.5
small,0.451962769,0.4207999408
small,0.3366459608,0.3398346603
small,0.356682539,0.3247798979
small,0.4528868198,0.4207999408
small,0.328322351,0.2737150788
small,0.4639012814,0.3454769254
small,0.3142184019,0.392159313
small,0.4757506549,0.4207999408
small,0.4788075089,0.4207999408
small,0.4786319137,0.4207999408
small,0.4774337411,0.3454769254
small,0.317129612,0.2930911481
small,0.4262413681,0.3454769254
small,0.3553376496,0.2930911481
small,0.4796352684,0.3454769254
small,0.3391029239,0.2930911481
small,0.5322769284,0.4451949298
small,0.5333416462,0.3398346603
small,0.5891910791,0.3916911483
small,0.6175445914,0.5
small,0.3392739296,0.3406691849
small,0.5473296046,0.3916911483
small,0.5395978689,0.3916911483
small,0.5556292534,0.3406691849
small,0.5369294882,0.3916911483
small,0.6064267755,0.3916911483
small,0.5226102471,0.2930911481
small,0.5112261772,0.2930911481
small,0.565199852,0.3454769254
small,0.5160324574,0.3454769254
small,0.5344409943,0.3454769254
small,0.5520914197,0.4207999408
small,0.506672442,0.3454769254
small,0.5991709828,0.3916911483
small,0.6441396475,0.4451949298
small,0.3302144408,0.2930911481
small,0.7092276216,0.5
small,0.6507204771,0.5
small,0.4109014869,0.3916911483
small,0.6514878273,0.4451949298
small,0.4257299304,0.3916911483
small,0.6616310477,0.5548050404
small,0.6714011431,0.6083088517
